year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA
2015,CL,横浜DeNAベイスターズ,1005114,高崎　健太郎,K.Takasaki,7.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1.0,0.0,1.0,0,0.0,3.0,0.0,0.25,0.333,0.25,0.583,2.0,0.0,0.083,0.333,0.1,0.3,0.3333333333333333,0.4,0.21235,416.3333333333333,0.125,0.5
2015,CL,東京ヤクルトスワローズ,1005117,雄平,Y.Yuuhei（takai,141.0,585.0,551.0,57.0,149.0,33.0,4.0,8.0,214.0,60.0,7,4,1.0,3.0,27.0,0,3.0,82.0,7.0,0.27,0.307,0.388,0.695,104.0,0.118,0.0369999999999999,0.425,0.0461538461538461,0.1401709401709401,0.3292682926829268,0.3038793103448275,0.23515,436.33333333333337,0.1796733212341197,0.6063569682151589
2015,CL,広島東洋カープ,1005139,西原　圭大,K.Nishihara,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2015,CL,阪神タイガース,11015112,高宮　和也,K.Takamiya,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2015,CL,横浜DeNAベイスターズ,11015116,田中　健二朗,K.Tanaka,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
2015,CL,東京ヤクルトスワローズ,11015119,成瀬　善久,Y.Naruse,14.0,26.0,24.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,8.0,0.0,0.167,0.167,0.208,0.375,3.0,0.0409999999999999,0.0,0.208,0.0,0.3076923076923077,0.0,0.25,0.12715,236.3333333333333,0.0416666666666666,0.25
2015,CL,広島東洋カープ,1103888,新井　貴浩,T.Arai,125.0,480.0,426.0,52.0,117.0,22.0,2.0,7.0,164.0,57.0,3,0,0.0,4.0,48.0,0,2.0,73.0,15.0,0.275,0.348,0.385,0.733,86.0,0.1099999999999999,0.0729999999999999,0.4579999999999999,0.1,0.1520833333333333,0.6575342465753424,0.3142857142857143,0.25285,476.33333333333326,0.2276995305164319,0.6604938271604939
2015,CL,阪神タイガース,1105112,新井　良太,R.Arai,93.0,162.0,150.0,10.0,29.0,8.0,0.0,4.0,49.0,19.0,0.0,0,0.0,1.0,10.0,0,1.0,41.0,3.0,0.193,0.247,0.327,0.574,17.0,0.134,0.0539999999999999,0.381,0.0617283950617283,0.2530864197530864,0.2439024390243902,0.2358490566037736,0.1929,356.0,0.2066666666666666,0.4838709677419355
2015,CL,広島東洋カープ,1105115,天谷　宗一郎,S.Amaya,30.0,34.0,28.0,1.0,6.0,0.0,0.0,0.0,6.0,2.0,3,4,0.0,0.0,6.0,0,0.0,7.0,1.0,0.214,0.353,0.214,0.567,6.0,0.0,0.1389999999999999,0.353,0.1764705882352941,0.2058823529411764,0.8571428571428571,0.2857142857142857,0.2123499999999999,424.3333333333333,0.3571428571428571,0.6956521739130435
2015,CL,東京ヤクルトスワローズ,1105131,荒木　貴裕,T.Araki,73.0,196.0,170.0,21.0,43.0,8.0,0.0,2.0,57.0,12.0,5,3,8.0,1.0,16.0,0,1.0,30.0,3.0,0.253,0.319,0.335,0.654,33.0,0.082,0.066,0.401,0.0816326530612244,0.1530612244897959,0.5333333333333333,0.2949640287769784,0.2273,430.6666666666667,0.2,0.5923076923076923
