year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1990,PL,大阪近鉄バファローズ,51153864,阿波野　秀幸,,25,190.2,10,11,1,4.63,815,192,33,62,,3,141,98,111,,,10,0,0.476,5,2
1990,PL,大阪近鉄バファローズ,35433868,赤堀　元之,,21,51.1,4,0,1,2.98,219,50,6,24,,1,38,17,23,,,0,0,1.0,1,0
1990,PL,大阪近鉄バファローズ,11313863,石本　貴昭,,20,38.0,0,0,0,5.92,168,41,5,21,,0,14,25,26,,,0,0,0.0,0,0
1990,PL,大阪近鉄バファローズ,91193864,池上　誠一,,28,71.0,2,2,0,4.06,330,75,8,44,,0,58,32,40,,,1,0,0.5,5,0
1990,PL,大阪近鉄バファローズ,11313881,入来　智,,7,7.2,0,0,0,10.57,39,14,2,4,,1,6,9,10,,,0,0,0.0,0,0
1990,PL,大阪近鉄バファローズ,31333869,小野　和義,,13,60.2,3,4,0,5.04,260,61,9,20,,3,22,34,38,,,1,0,0.429,0,0
1990,PL,大阪近鉄バファローズ,61363867,加藤　哲郎,,1,3.0,0,0,0,3.0,13,1,0,3,,0,0,1,1,,,0,0,0.0,0,0
1990,PL,大阪近鉄バファローズ,51453866,木下　文信,,29,32.0,3,0,0,6.47,149,35,6,19,,3,17,23,26,,,0,0,1.0,3,1
1990,PL,大阪近鉄バファローズ,81583860,佐々木　修,,29,119.2,8,7,1,4.36,517,133,13,39,,5,31,58,67,,,2,1,0.533,2,0
1990,PL,大阪近鉄バファローズ,31733860,佐藤　秀明,,29,36.2,0,4,1,4.66,165,44,8,11,,0,17,19,27,,,0,0,0.0,0,0
1990,PL,大阪近鉄バファローズ,71473866,高柳　出己,,26,95.1,3,5,0,5.19,431,112,9,35,,3,46,55,58,,,2,0,0.375,1,0
1990,PL,大阪近鉄バファローズ,21223881,野茂　英雄,,29,235.0,18,8,0,2.91,975,167,18,109,,4,287,76,87,,,21,2,0.692,12,0
1990,PL,大阪近鉄バファローズ,51253864,山崎　慎太郎,,25,145.1,8,10,0,5.26,647,156,18,76,,3,89,85,90,,,7,0,0.444,5,0
1990,PL,大阪近鉄バファローズ,85283868,山田　真実,,3,5.1,0,0,0,5.06,27,10,1,2,,0,4,3,5,,,0,0,0.0,1,0
1990,PL,大阪近鉄バファローズ,51653860,吉井　理人,,45,74.1,8,9,15,3.39,330,80,4,30,,4,55,28,29,,,0,0,0.471,5,0
1990,PL,千葉ロッテマリーンズ,91193867,井辺　康二,,20,43.2,2,0,3,2.68,184,33,5,28,,1,21,13,13,,,0,0,1.0,2,0
1990,PL,千葉ロッテマリーンズ,21123862,伊藤　優,,11,13.2,0,2,0,5.27,64,17,2,5,,1,7,8,12,,,0,0,0.0,0,0
1990,PL,千葉ロッテマリーンズ,21223866,伊良部　秀輝,,34,123.2,8,5,0,3.78,544,110,6,72,,7,102,52,58,,,4,0,0.615,12,2
1990,PL,千葉ロッテマリーンズ,01103861,牛島　和彦,,3,8.0,0,1,0,5.63,33,7,1,2,,1,6,5,6,,,0,0,0.0,0,0
1990,PL,千葉ロッテマリーンズ,81183860,小川　博,,20,78.1,3,1,1,4.83,340,77,14,31,,1,55,42,44,,,0,0,0.75,3,0
1990,PL,千葉ロッテマリーンズ,01303862,笠原　栄一,,2,3.1,0,0,0,5.4,21,3,1,8,,1,1,2,5,,,0,0,0.0,1,0
1990,PL,千葉ロッテマリーンズ,83483868,今野　隆裕,,28,26.0,0,1,0,6.92,125,40,6,12,,2,16,20,23,,,0,0,0.0,0,0
1990,PL,千葉ロッテマリーンズ,11713881,小林　昭則,,11,21.0,0,1,0,5.57,100,24,1,13,,0,9,13,15,,,0,0,0.0,0,0
1990,PL,千葉ロッテマリーンズ,31733881,小宮山　悟,,30,170.2,6,10,2,3.27,714,159,22,63,,4,126,62,70,,,6,2,0.375,5,0
1990,PL,千葉ロッテマリーンズ,13613868,里見　祐輔,,1,2.2,0,1,0,3.38,12,2,0,2,,0,2,1,1,,,0,0,0.0,0,0
1990,PL,千葉ロッテマリーンズ,21723867,白武　佳久,,26,81.0,10,4,3,3.33,329,68,9,27,,1,62,30,37,,,1,0,0.714,3,0
1990,PL,千葉ロッテマリーンズ,21523864,関　清和,,1,3.0,0,0,0,12.0,14,4,2,2,,0,1,4,4,,,0,0,0.0,1,0
1990,PL,千葉ロッテマリーンズ,41743860,荘　勝雄,,33,115.0,5,14,9,4.23,499,119,10,45,,1,68,54,60,,,3,0,0.263,2,0
1990,PL,千葉ロッテマリーンズ,71773862,園川　一美,,18,71.0,2,6,0,5.2,305,65,10,27,,5,65,41,47,,,1,0,0.25,0,3
1990,PL,千葉ロッテマリーンズ,41243866,永野　吉成,,4,10.2,0,0,0,3.38,53,14,0,10,,0,5,4,7,,,0,0,0.0,2,0
1990,PL,千葉ロッテマリーンズ,61063869,平沼　定晴,,18,32.2,0,0,0,4.68,151,43,6,12,,0,25,17,22,,,0,0,0.0,3,0
1990,PL,千葉ロッテマリーンズ,11213863,堀井　幹夫,,3,6.1,0,0,0,2.84,37,14,0,3,,0,4,2,10,,,0,0,0.0,0,0
1990,PL,千葉ロッテマリーンズ,63463868,前田　幸長,,33,167.0,8,13,2,3.99,697,162,19,51,,4,130,74,79,,,8,1,0.381,12,0
1990,PL,千葉ロッテマリーンズ,41043826,村田　兆治,,26,115.2,10,8,2,4.51,524,120,14,56,,6,103,58,62,,,4,2,0.556,17,1
1990,PL,千葉ロッテマリーンズ,33633868,森　廣二,,17,47.2,2,3,0,5.48,224,55,6,27,,5,23,29,37,,,1,0,0.4,5,0
1990,PL,千葉ロッテマリーンズ,03603868,八島　祥司,,8,9.0,1,1,0,10.0,41,13,3,2,,2,4,10,10,,,0,0,0.5,0,0
