year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1972,CL,読売ジャイアンツ,91193802,秋本　祐作,,19,30.0,2,1,,3.0,116,27,3,6,,0,16,10,11,,,0,0,0.667,0,0
1972,CL,読売ジャイアンツ,91593820,倉田　誠,,36,104.2,4,4,,4.71,465,94,13,66,,2,71,55,60,,,1,0,0.5,3,3
1972,CL,読売ジャイアンツ,51753841,小坂　敏彦,,23,70.0,4,4,,3.86,300,66,9,31,,0,40,30,31,,,1,0,0.5,0,0
1972,CL,読売ジャイアンツ,81583822,菅原　勝矢,,33,103.2,13,2,,2.42,439,79,7,44,,4,81,28,33,,,2,0,0.867,2,0
1972,CL,読売ジャイアンツ,71973843,関本　四十四,,23,70.2,2,6,,4.31,304,79,4,25,,1,34,34,37,,,2,0,0.25,2,0
1972,CL,読売ジャイアンツ,01703820,高橋　一三,,43,214.1,12,11,,2.99,895,172,22,113,,3,170,71,81,,,11,0,0.522,3,0
1972,CL,読売ジャイアンツ,91093843,新浦　寿夫,,5,3.2,0,0,,15.75,23,7,1,3,,0,1,7,9,,,0,0,0.0,0,0
1972,CL,読売ジャイアンツ,91093822,堀内　恒夫,,48,312.0,26,9,,2.91,1282,292,34,95,,3,203,101,110,,,26,4,0.743,3,0
1972,CL,読売ジャイアンツ,51253841,松原　明夫,,5,9.0,0,0,,8.0,46,17,4,4,,0,2,8,10,,,0,0,0.0,0,0
1972,CL,読売ジャイアンツ,31233828,山内　新一,,11,17.2,0,1,,9.0,93,31,4,10,,2,6,18,20,,,0,0,0.0,1,0
1972,CL,読売ジャイアンツ,31433845,横山　忠夫,,10,28.2,1,3,,3.72,135,34,3,13,,2,11,12,16,,,0,0,0.25,3,0
1972,CL,読売ジャイアンツ,41643829,渡辺　秀武,,39,196.1,10,11,,3.17,806,179,16,37,,13,106,69,74,,,9,1,0.476,3,1
1972,CL,中日ドラゴンズ,11313824,伊藤　久敏,,25,70.0,5,4,,4.63,303,84,13,13,,0,36,36,39,,,1,0,0.556,1,0
1972,CL,中日ドラゴンズ,31333843,稲葉　光雄,,38,261.1,20,11,,2.76,1045,202,26,94,,11,140,80,84,,,14,8,0.645,0,0
1972,CL,中日ドラゴンズ,31533820,川内　八州男,,21,35.1,0,1,,5.4,145,35,7,10,,1,23,21,23,,,0,0,0.0,0,1
1972,CL,中日ドラゴンズ,11913841,渋谷　幸春,,32,114.1,6,5,,3.87,502,126,15,39,,10,47,49,51,,,2,2,0.545,2,0
1972,CL,中日ドラゴンズ,31933845,竹田　和史,,21,21.0,0,0,,3.0,99,25,3,13,,2,10,7,9,,,0,0,0.0,0,0
1972,CL,中日ドラゴンズ,51953826,土屋　紘,,28,89.2,3,4,,3.7,363,78,14,24,,1,34,37,41,,,2,0,0.429,0,0
1972,CL,中日ドラゴンズ,51053828,星野　仙一,,48,98.2,9,8,,2.0,404,71,12,39,,5,70,22,33,,,0,0,0.529,1,0
1972,CL,中日ドラゴンズ,31433841,松本　幸行,,42,191.2,13,8,,3.14,776,173,18,54,,2,76,67,77,,,6,1,0.619,1,0
1972,CL,中日ドラゴンズ,11413808,水谷　寿伸,,31,163.1,6,12,,2.65,659,143,17,29,,5,73,48,66,,,5,1,0.333,1,1
1972,CL,中日ドラゴンズ,41043828,水谷　則博,,2,0.1,0,0,,54.0,5,3,0,1,,0,0,2,2,,,0,0,0.0,0,0
1972,CL,中日ドラゴンズ,71273845,三沢　淳,,33,75.2,3,5,,3.67,306,58,13,19,,6,44,31,36,,,0,0,0.375,0,0
1972,CL,中日ドラゴンズ,21223845,村上　義則,,2,2.1,0,0,,0.0,8,1,0,1,,0,1,0,0,,,0,0,0.0,0,0
1972,CL,中日ドラゴンズ,51253826,若生　和也,,25,41.1,2,0,,4.83,183,49,6,16,,0,28,22,24,,,0,0,1.0,4,0
1972,CL,中日ドラゴンズ,31633843,渡部　司,,6,5.1,0,1,,10.8,27,11,2,1,,0,9,6,6,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,21123841,石幡　信弘,,12,15.0,0,1,,3.0,67,16,1,9,,0,6,5,5,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,91193845,鵜沢　達雄,,32,58.0,5,4,,4.19,262,46,5,50,,1,47,27,33,,,0,0,0.556,2,0
1972,CL,大洋ホエールズ,01303820,及川　宣士,,1,3.0,0,1,,6.0,14,4,0,2,,0,3,2,2,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,61563824,鬼頭　洋,,34,111.0,3,8,,3.41,448,103,14,23,,8,75,42,46,,,1,0,0.273,3,1
1972,CL,大洋ホエールズ,71573845,倉橋　寛,,1,3.0,0,0,,0.0,11,0,0,2,,0,2,0,0,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,01503826,小谷　正勝,,18,27.0,0,1,,5.0,111,30,7,8,,0,22,15,15,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,31933808,坂井　勝二,,38,214.2,15,11,,3.01,876,201,22,52,,13,99,72,78,,,10,3,0.577,3,0
1972,CL,大洋ホエールズ,91393822,佐藤　元彦,,12,16.0,0,2,,7.88,71,23,4,4,,0,7,14,15,,,0,0,0.0,0,2
1972,CL,大洋ホエールズ,51753806,島田　源太郎,,17,53.0,3,3,,3.91,229,43,5,25,,7,35,23,26,,,1,0,0.5,3,0
1972,CL,大洋ホエールズ,81783824,高垣　義広,,23,53.2,2,1,,3.0,221,41,6,20,,1,26,18,20,,,0,0,0.667,0,0
1972,CL,大洋ホエールズ,31933826,竹村　一義,,15,27.0,0,2,,7.67,131,35,2,17,,2,15,23,25,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,11913845,竹内　広明,,20,77.1,5,4,,4.32,340,83,12,31,,7,42,37,39,,,2,1,0.556,0,1
1972,CL,大洋ホエールズ,21023820,平岡　一郎,,29,55.2,3,1,,2.25,239,51,2,30,,3,39,14,18,,,0,0,0.75,0,0
1972,CL,大洋ホエールズ,71073824,平松　政次,,41,243.2,13,15,,3.43,998,211,32,84,,11,118,93,111,,,10,0,0.464,4,0
1972,CL,大洋ホエールズ,41243841,間柴　富裕,,23,40.2,0,6,,4.83,165,33,1,16,,2,25,22,23,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,31233845,松島　英雄,,16,24.1,0,2,,3.75,103,21,4,12,,0,11,10,10,,,0,0,0.0,0,0
1972,CL,大洋ホエールズ,31433824,山下　律夫,,36,129.1,8,7,,3.7,556,137,11,39,,5,60,53,57,,,3,0,0.533,0,0
1972,CL,阪神タイガース,81183825,伊藤　幸男,,6,21.0,2,1,,3.0,80,18,1,1,,2,7,7,8,,,0,0,0.667,0,0
1972,CL,阪神タイガース,01103841,池島　和彦,,21,51.0,3,3,,2.29,213,51,3,14,,1,19,13,15,,,1,1,0.5,0,0
1972,CL,阪神タイガース,11313828,植木　一智,,4,15.2,1,0,,2.81,59,13,1,3,,0,3,5,5,,,1,0,1.0,1,0
1972,CL,阪神タイガース,81183841,上田　二朗,,35,124.2,9,7,,3.53,497,107,20,35,,5,91,49,51,,,1,1,0.563,0,0
1972,CL,阪神タイガース,21123845,上辻　修,,1,2.0,0,0,,13.5,9,3,1,0,,0,0,3,3,,,0,0,0.0,0,0
1972,CL,阪神タイガース,41343824,江夏　豊,,49,269.2,23,8,,2.53,1059,195,30,60,,4,233,76,86,,,16,3,0.742,0,1
1972,CL,阪神タイガース,11513828,吉良　修一,,11,22.1,1,1,,3.27,88,20,0,3,,0,15,8,8,,,0,0,0.5,0,0
1972,CL,阪神タイガース,51953807,権藤　正利,,30,37.0,2,0,,2.68,150,26,1,19,,1,13,11,13,,,0,0,1.0,3,0
1972,CL,阪神タイガース,91093825,鈴木　皖武,,31,59.1,2,1,,2.14,231,37,4,22,,2,47,14,16,,,1,0,0.667,0,0
1972,CL,阪神タイガース,41943843,谷村　智博,,44,191.0,11,11,,2.26,777,186,8,36,,11,71,48,52,,,10,2,0.5,2,0
1972,CL,阪神タイガース,11013826,野上　俊夫,,2,4.1,0,0,,9.0,18,5,1,1,,0,2,4,4,,,0,0,0.0,0,0
1972,CL,阪神タイガース,91093824,平山　英雄,,34,85.0,7,4,,3.07,344,77,7,31,,0,36,29,32,,,0,0,0.636,0,0
1972,CL,阪神タイガース,41243829,古沢　憲司,,16,45.0,1,6,,5.2,196,53,7,16,,0,24,26,30,,,0,0,0.143,3,0
1972,CL,阪神タイガース,51453808,村山　実,,22,84.2,4,6,,3.6,340,78,8,18,,2,45,34,36,,,3,0,0.4,1,0
1972,CL,阪神タイガース,63163825,山本　重政,,25,47.0,1,1,,3.83,199,40,3,21,,2,23,20,21,,,0,0,0.5,1,0
1972,CL,阪神タイガース,11413845,山本　和行,,28,100.0,3,5,,3.42,400,94,10,21,,0,54,38,41,,,2,1,0.375,2,0
1972,CL,阪神タイガース,33333802,若生　智男,,5,17.0,1,2,,3.71,74,16,1,9,,0,9,7,10,,,0,0,0.333,0,0
1972,CL,広島東洋カープ,51153829,安仁屋　宗八,,32,139.1,8,10,,3.17,549,114,21,32,,2,93,49,52,,,8,2,0.444,1,0
1972,CL,広島東洋カープ,91193843,有田　哲三,,6,12.1,1,0,,8.25,66,19,4,7,,4,2,11,13,,,0,0,1.0,0,0
1972,CL,広島東洋カープ,31333841,内田　照文,,1,0.2,0,0,,40.5,5,1,0,2,,0,1,3,3,,,0,0,0.0,0,0
1972,CL,広島東洋カープ,61563825,大石　弥太郎,,38,187.0,11,15,,2.79,752,166,18,34,,7,87,58,67,,,8,0,0.423,2,0
1972,CL,広島東洋カープ,41343845,金城　基泰,,27,70.2,3,3,,3.93,312,60,9,44,,3,62,31,36,,,2,0,0.5,2,0
