year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1953,CL,読売ジャイアンツ,41143805,入谷　正典,,29,174.1,11,7,,2.37,716,159,14,44,,1,63,46,61,,,10,2,0.611,0,1
1953,CL,読売ジャイアンツ,81183807,井上　安雄,,5,5.2,0,0,,6.0,27,5,1,4,,1,5,4,4,,,0,0,0.0,0,0
1953,CL,読売ジャイアンツ,41743801,大友　工,,43,281.1,27,6,,1.85,1076,199,13,63,,1,173,58,65,,,22,3,0.818,1,1
1953,CL,読売ジャイアンツ,01503807,笠原　正行,,8,16.1,1,0,,3.18,65,17,1,3,,0,7,6,7,,,1,0,1.0,1,0
1953,CL,読売ジャイアンツ,11013807,鈴木　実,,16,38.0,1,0,,1.89,167,36,2,20,,0,11,8,14,,,0,0,1.0,3,0
1953,CL,読売ジャイアンツ,71373893,多田　文久三,,4,4.2,0,1,,18.0,31,10,1,7,,0,3,10,10,,,0,0,0.0,0,0
1953,CL,読売ジャイアンツ,01703878,中尾　碩志,,34,181.2,14,8,,2.72,734,157,5,40,,2,68,55,76,,,6,2,0.636,0,0
1953,CL,読売ジャイアンツ,81783895,藤本　英雄,,29,198.2,17,6,,2.08,777,166,9,30,,1,73,46,60,,,13,3,0.739,0,0
1953,CL,読売ジャイアンツ,31933895,別所　毅彦,,32,191.1,16,8,,2.63,781,179,10,43,,5,75,56,70,,,16,4,0.667,3,0
1953,CL,読売ジャイアンツ,03203801,松田　清,,11,33.1,0,1,,4.24,138,30,3,9,,1,9,16,17,,,0,0,0.0,1,0
1953,CL,読売ジャイアンツ,51653805,三浦　方義,,5,7.2,0,0,,7.88,40,13,1,4,,0,1,7,8,,,0,0,0.0,0,0
1953,CL,阪神タイガース,71173807,赤松　瞭,,1,1.2,0,0,,9.0,8,3,0,0,,0,0,2,2,,,0,0,0.0,1,0
1953,CL,阪神タイガース,61163805,岩村　吉博,,25,35.2,1,2,,6.25,166,47,3,19,,1,19,25,25,,,0,0,0.333,1,0
1953,CL,阪神タイガース,91193896,内山　清,,3,12.1,1,0,,2.08,45,7,1,2,,0,3,3,4,,,0,0,1.0,0,0
1953,CL,阪神タイガース,11513807,大崎　三男,,3,8.2,0,2,,5.0,36,9,0,5,,0,4,5,6,,,0,0,0.0,0,0
1953,CL,阪神タイガース,31333894,梶岡　忠義,,40,250.1,16,13,,3.01,1007,220,19,70,,6,80,84,95,,,18,3,0.552,0,0
1953,CL,阪神タイガース,01303898,駒田　桂二,,32,85.0,5,5,,3.07,348,88,5,15,,1,29,29,38,,,4,3,0.5,1,1
1953,CL,阪神タイガース,31933807,小山　正明,,16,60.2,5,1,,3.39,253,60,4,17,,0,22,23,24,,,3,1,0.833,0,0
1953,CL,阪神タイガース,51353897,真田　重男,,22,128.1,8,6,,3.21,516,124,6,21,,3,28,46,55,,,7,1,0.571,0,0
1953,CL,阪神タイガース,51253807,内司　正弘,,11,24.2,1,1,,5.4,109,29,3,10,,0,7,15,16,,,1,1,0.5,0,0
1953,CL,阪神タイガース,81783891,藤村　隆男,,49,249.1,21,11,,2.74,1008,218,15,71,,7,83,76,94,,,12,0,0.656,2,1
1953,CL,阪神タイガース,71673805,三船　正俊,,33,108.0,6,4,,3.0,439,108,12,36,,1,34,36,43,,,2,0,0.6,1,0
1953,CL,阪神タイガース,41843807,渡辺　省三,,54,192.0,10,11,,2.86,775,168,11,59,,4,43,61,69,,,1,1,0.476,2,1
1953,CL,広島東洋カープ,71373807,岩井　活水,,1,1.0,0,0,,0.0,4,2,0,0,,0,0,0,0,,,0,0,0.0,0,0
1953,CL,広島東洋カープ,81283805,大田垣　喜夫,,49,249.0,13,20,,3.8,1066,282,9,62,,6,82,105,130,,,3,1,0.394,2,1
