year,player_id,player_name,csv_IP,html_投球回,ip_match,csv_ER,html_自責点,er_match,csv_ERA,html_防御率,era_match,table_idx,html_headers,html_row,csv_file,line
1950,41743801,大友　工,85.0,85,True,0,0,True,41.0,41,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|15|4|4||||5|0|0|.500|356|85|85||71|3|39|0|44|1|0|41|35|3.71,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,2
1950,71373893,多田　文久三,244.0,244,True,0,0,True,103.0,103,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|40|14|9||||13|2|1|.609|1009|244|244||215|12|89|5|138|2|0|103|79|2.91,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,3
1950,01703878,中尾　碩志,194.1,194 .1,False,0,0,True,105.0,105,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|38|12|11||||8|2|1|.522|838|194 .1|194|.1|193|26|76|1|112|3|0|105|84|3.88,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,4
1950,81783895,藤本　英雄,360.1,360 .1,False,0,0,True,117.0,117,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|49|26|14||||33|6|8|.650|1442|360 .1|360|.1|307|25|70|2|156|1|0|117|98|2.44,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,5
1950,31933895,別所　毅彦,314.0,314,True,1,1,True,114.0,114,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|読　売|43|22|11||||27|8|0|.667|1287|314|314||273|24|93|4|157|1|1|114|89|2.55,_data\master_csv__rescrape_staging\pitching_1950_CL_from_master.csv,6
1950,31133898,阿部　八郎,278.0,278,True,2,2,True,134.0,134,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|阪　急|53|14|18||||14|4|0|.438|1180|278|278||251|16|104|1|156|2|2|134|109|3.53,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,2
1950,01603801,柴田　英治,75.2,75 .2,False,0,0,True,29.0,29,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|阪　急|14|4|3||||3|0|2|.571|311|75 .2|75|.2|72|7|9|1|32|0|0|29|22|2.61,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,4
1950,61563895,天保　義夫,328.0,328,True,0,0,True,164.0,164,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|阪　急|57|18|24||||21|0|3|.429|1380|328|328||322|20|102|0|141|6|0|164|134|3.68,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,5
1950,81783878,野口　二郎,181.2,181 .2,False,0,0,True,85.0,85,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|阪　急|35|15|9||||10|2|7|.625|750|181 .2|181|.2|190|20|14|1|61|0|0|85|64|3.16,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,6
1950,31533894,浜崎　真二,28.0,28,True,0,0,True,25.0,25,True,1,年度|所属球団|登板|勝利|敗北|セーブ|H|HP|完投|完封勝|無四球|勝率|打者|投球回|安打|本塁打|四球|死球|三振|暴投|ボーク|失点|自責点|防御率,1950|阪　急|9|1|2||||0|0|0|.333|129|28|28||34|3|19|0|12|2|0|25|22|7.07,_data\master_csv__rescrape_staging\pitching_1950_PL_from_master.csv,7
