npb_player_id,name_ja,gurazeni_id,baseballinfo_slug,match_method,confidence
11315159,糸川 亮太,2538,,gurazeni_team_2026,high
11415134,床田 寛樹,1411,,gurazeni_team_2026,high
11415150,竹田 祐,2679,,gurazeni_team_2026,high
11415151,津留﨑 大成,1848,,gurazeni_team_2026,high
11415159,津田 淳哉,2544,,gurazeni_team_2026,high
11515132,大城 滉二,1229,,gurazeni_team_2026,high
11515133,大野 雄大,92,,gurazeni_team_2026,high
11515137,小川 泰弘,165,,gurazeni_team_2026,high
11515138,小島 和哉,1713,,gurazeni_team_2026,high
11515139,岡 大海,930,,gurazeni_team_2026,high
11515150,江原 雅裕,2629,,gurazeni_team_2026,high
11515151,梅林 優貴,1817,,gurazeni_team_2026,high
11515152,大塚 瑠晏,2771,,gurazeni_team_2026,high
11515155,岡留 英貴,2125,,gurazeni_team_2026,high
11515157,門脇 誠,2338,,gurazeni_team_2026,high
11515159,大山 凌,2516,,gurazeni_team_2026,high
11615134,長谷川 宙輝,1350,,gurazeni_team_2026,high
11615155,野村 勇,2215,,gurazeni_team_2026,high
11615157,橋本 星哉,2365,,gurazeni_team_2026,high
11715132,川瀬 晃,1181,,gurazeni_team_2026,high
11715153,小川 龍成,2017,,gurazeni_team_2026,high
11715155,川村 友斗,2217,,gurazeni_team_2026,high
11815130,宗 佑磨,1051,,gurazeni_team_2026,high
11815132,堀内 謙伍,1241,,gurazeni_team_2026,high
11815134,星 知弥,1466,,gurazeni_team_2026,high
11815136,増田 珠,1554,,gurazeni_team_2026,high
11815138,万波 中正,1659,,gurazeni_team_2026,high
11815150,廣澤 優,2670,,gurazeni_team_2026,high
11815155,福永 奨,2194,,gurazeni_team_2026,high
11815159,福島 圭音,2512,,gurazeni_team_2026,high
11915130,齋藤 綱記,1048,,gurazeni_team_2026,high
11915132,坂本 誠志郎,1283,,gurazeni_team_2026,high
11915134,坂倉 将吾,1416,,gurazeni_team_2026,high
11915153,木澤 尚文,1974,,gurazeni_team_2026,high
11915159,坂井 陽翔,2452,,gurazeni_team_2026,high
13115138,吉田 輝星,1669,,gurazeni_team_2026,high
13115150,宮原 駿介,2668,,gurazeni_team_2026,high
13115153,牧 秀悟,1988,,gurazeni_team_2026,high
13115157,三塚 琉生,2304,,gurazeni_team_2026,high
13115159,前田 悠伍,2542,,gurazeni_team_2026,high
13215157,Ｌ．ペルドモ,2408,,gurazeni_team_2026,high
13315150,山城 航太郎,2695,,gurazeni_team_2026,high
13315153,村上 頌樹,1959,,gurazeni_team_2026,high
13415155,Ｒ．オスナ,2264,,gurazeni_team_2026,high
13515150,渡邉 悠斗,2694,,gurazeni_team_2026,high
13515157,吉田 賢吾,2326,,gurazeni_team_2026,high
13515159,ワォーターズ,2480,,gurazeni_search,high
13715132,Ｄ．ビシエド,1305,,gurazeni_team_2026,high
13715150,Ｊ．デュプランティエ,2734,,gurazeni_team_2026,high
13715152,Ｃ．ヒュンメル,2914,,gurazeni_team_2026,high
13915150,Ｋ．マラー,2748,,gurazeni_team_2026,high
13915152,Ｊ．リランソ,2925,,gurazeni_team_2026,high
17915159,能登 嵩都,2797,,gurazeni_team_2026,high
21025136,髙松 渡,1538,,gurazeni_team_2026,high
21025137,福谷 浩司,94,,gurazeni_team_2026,high
21025152,鈴木 豪太,2848,,gurazeni_team_2026,high
21025155,隅田 知一郎,2092,,gurazeni_team_2026,high
21025157,田中 幹也,2302,,gurazeni_team_2026,high
2103847,大竹 風雅,2216,,gurazeni_team_2026,high
2112130,藤原 大翔,2450,,gurazeni_team_2026,high
21125134,石井 一成,1342,,gurazeni_team_2026,high
21125137,石山 泰稚,154,,gurazeni_team_2026,high
21125150,石伊 雄太,2728,,gurazeni_team_2026,high
21125151,石原 貴規,1833,,gurazeni_team_2026,high
21125155,池田 来翔,2163,,gurazeni_team_2026,high
21125159,石田 裕太郎,2449,,gurazeni_team_2026,high
21225133,西川 遥輝,499,,gurazeni_team_2026,high
21225136,中川 虎大,1519,,gurazeni_team_2026,high
21225137,松葉 貴大,813,,gurazeni_team_2026,high
21225152,田和 廉,2830,,gurazeni_team_2026,high
21325134,大山 悠輔,1461,,gurazeni_team_2026,high
21325136,大城 卓三,1522,,gurazeni_team_2026,high
21325138,大盛 穂,1701,,gurazeni_team_2026,high
21325139,梅野 隆太郎,917,,gurazeni_team_2026,high
21325150,岩崎 峻典,2701,,gurazeni_team_2026,high
21325153,今川 優馬,2006,,gurazeni_team_2026,high
21325157,大野 稼頭央,2372,,gurazeni_team_2026,high
21425116,丸 佳浩,287,,gurazeni_team_2026,high
21425139,山川 穂高,937,,gurazeni_team_2026,high
21425151,橋本 侑樹,1861,,gurazeni_team_2026,high
21425152,野上 士耀,2811,,gurazeni_team_2026,high
21425153,中川 颯,2000,,gurazeni_team_2026,high
21425159,中島 大輔,2513,,gurazeni_team_2026,high
21525116,唐川 侑己,754,,gurazeni_team_2026,high
