player_id,name_ja,status,roman_skipped,roman_short,birth_date_raw,pro_debut_raw,career_raw,network
1005153,佐々木　健,ok,True,T.Sasaki,1996年5月13日,2020年ドラフト2位,木造高 - 富士大 - NTT東日本,0
11013800,小林　宣介,ok,True,S.Kobayashi,1931年11月3日,,大阪七商 - 関西大,0
11013801,片岡　博国,ok,True,H.Kataoka,1916年11月24日,,東邦商 - 早稲田大 - 昭和製鋼 - 名古屋鉄道局 - 函館太洋クラブ,0
11013802,鈴木　秀幸,ok,True,H.Suzuki,1933年8月1日,,矢板高 - 神奈川大,0
11013804,中本　冨士雄,ok,True,F.Nakamoto,1938年6月13日,,岩国商 - 東洋紡岩国,0
11013805,鈴木　康司,ok,True,K.Suzuki,1932年7月7日,,安房水産高,0
11013806,難波　昭二郎,ok,True,S.Nanba,1935年2月19日,,高槻高 - 関西大,0
11013807,鈴木　実,ok,True,M.Suzuki,1929年10月15日,,新潟中 - 全新潟 - 鐘淵化学,0
11013808,巽　一,ok,True,H.Tatsumi,1936年4月8日,,四日市高 - 慶応大,0
11013809,児玉　泰,ok,True,Y.Kodama,1935年7月19日,,松山商,0
11013820,野田　征稔,ok,True,M.Noda,1941年12月5日,,PL学園高 - PL教団,0
11013821,波山　次郎,ok,True,J.Hayama,1941年4月5日,,東北高,0
11013822,深代　芳史,ok,True,Y.Fukashiro,1946年5月13日,,沼田高,0
11013823,谷車　明,ok,True,A.Taniguruma,1938年2月18日,,奈良・高田高 - 近畿大,0
11013824,原田　秀行,ok,True,H.Harada,1944年8月3日,,柳井商工,0
11013825,柴田　勲,ok,True,I.Shibata,1944年2月8日,,法政二高,0
11013826,野上　俊夫,ok,True,T.Nogami,1949年8月3日,1967年ドラフト1位,市立和歌山商,0
11013827,早瀬　方禧,ok,True,M.Hayase,1940年4月11日,,中京商 - 中京大,0
11013828,藤原　真,ok,True,M.Fujiwara,1945年5月15日,1968年ドラフト1位,西脇高 - 慶応大 - 鐘紡,0
11013829,千原　陽三郎,ok,True,Y.Chihara,1942年3月30日,,日大三高 - 日本大,0
11013841,長井　繁夫,ok,True,S.Nagai,1948年1月4日,1969年ドラフト3位,PL学園高 - 中央大,0
11013842,村上　悦雄,ok,True,E.Murakami,1950年4月10日,1971年ドラフト外,宮崎工 - 高島屋製作所,0
11013843,問矢　福雄,ok,True,F.Toiya,1950年9月3日,1969年ドラフト4位,二松学舎大付高,0
11013844,望月　卓也,ok,True,T.Mochizuki,1956年5月8日,1974年ドラフト2位,竹原高,0
11013845,成重　春生,ok,True,H.Narishige,1948年4月20日,1971年ドラフト8位,大分・高田高 - 大昭和製紙 - 大昭和製紙北海道,0
11013846,山倉　和博,ok,True,K.Yamakura,1955年9月2日,1977年ドラフト1位,東邦高 - 早稲田大,0
11013847,真弓　明信,ok,True,A.Mayumi,1953年7月12日,1972年ドラフト3位,柳川商 - 電電九州,0
11013848,吉田　博之,ok,True,H.Yoshida,1960年10月25日,1978年ドラフト4位,横浜高,0
11013849,待井　昇,ok,True,N.Machii,1954年9月21日,1972年ドラフト9位,日大三高,0
11013860,鍋屋　道桜,ok,True,M.Nabeya,1961年6月26日,1982年ドラフト5位,大阪福島商 - 日本楽器,0
11013861,藤原　仁,ok,True,M.Fujiwara,1956年3月2日,1979年ドラフト外,崇徳高 - 日本楽器,0
11013862,西川　佳明,ok,True,Y.Nishikawa,1963年7月14日,1985年ドラフト1位,PL学園高 - 法政大,0
11013863,V.ハリス,ok,True,V.Harris,1950年3月27日,,ロサンゼルスバレー短大 - レンジャーズ - カブス - カージナルス - ジャイアンツ - ブルワーズ,0
11013864,福地　経人,ok,True,T.Fukuchi,1963年1月29日,1985年ドラフト5位,小城高 - 九州産業大,0
11013865,光井　正和,ok,True,M.Mitsui,1957年8月21日,1979年ドラフト2位,広陵高 - 大阪商業大,0
11013866,山中　賢次,ok,True,K.Yamanaka,1965年2月10日,1982年ドラフト6位,鳴門商,0
