name_norm,birth_date_raw,player_id,name_ja,pro_debut_raw,career_raw,path
"有薗直輝","2003年5月21日","01105155","有薗 直輝","2021年ドラフト2位","千葉学芸高","_data\derived\player_profile\merged\npb_01105155.json"
"有薗直輝","2003年5月21日","1105155","有薗　直輝","2021年ドラフト2位","千葉学芸高","_data\derived\player_profile\merged\npb_1105155.json"
"村松開人","2001年1月6日","03105157","村松 開人","2022年ドラフト2位","静岡高 - 明治大","_data\derived\player_profile\merged\npb_03105157.json"
"村松開人","2001年1月6日","3105157","村松　開人","2022年ドラフト2位","静岡高 - 明治大","_data\derived\player_profile\merged\npb_3105157.json"
"東浜巨","1990年6月20日","01005137","東浜 巨","2012年ドラフト1位","沖縄尚学高 - 亜細亜大","_data\derived\player_profile\merged\npb_01005137.json"
"東浜巨","1990年6月20日","1005137","東浜　巨","2012年ドラフト1位","沖縄尚学高 - 亜細亜大","_data\derived\player_profile\merged\npb_1005137.json"
"松本健吾","1999年4月14日","03105159","松本 健吾","2023年ドラフト2位","東海大菅生高 - 亜細亜大 - トヨタ自動車","_data\derived\player_profile\merged\npb_03105159.json"
"松本健吾","1999年4月14日","3105159","松本　健吾","2023年ドラフト2位","東海大菅生高 - 亜細亜大 - トヨタ自動車","_data\derived\player_profile\merged\npb_3105159.json"
"林晃汰","2000年11月16日","01405138","林 晃汰","2018年ドラフト3位","智弁和歌山高","_data\derived\player_profile\merged\npb_01405138.json"
"林晃汰","2000年11月16日","1405138","林　晃汰","2018年ドラフト3位","智弁和歌山高","_data\derived\player_profile\merged\npb_1405138.json"
"栗原陵矢","1996年7月4日","01705130","栗原 陵矢","2014年ドラフト2位","春江工","_data\derived\player_profile\merged\npb_01705130.json"
"栗原陵矢","1996年7月4日","1705130","栗原　陵矢","2014年ドラフト2位","春江工","_data\derived\player_profile\merged\npb_1705130.json"
"桐敷拓馬","1999年6月20日","01705155","桐敷 拓馬","2021年ドラフト3位","本庄東高 - 新潟医療福祉大","_data\derived\player_profile\merged\npb_01705155.json"
"桐敷拓馬","1999年6月20日","1705155","桐敷　拓馬","2021年ドラフト3位","本庄東高 - 新潟医療福祉大","_data\derived\player_profile\merged\npb_1705155.json"
"植田海","1996年4月19日","01305130","植田 海","2014年ドラフト5位","近江高","_data\derived\player_profile\merged\npb_01305130.json"
