file,name,team,old_playerId,new_playerId,romanName,source
public\data\rankings\2025\PL\三振_all.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\二塁打.json,ネビン,埼玉西武ライオンズ,player-5,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\二塁打_all.json,ネビン,埼玉西武ライオンズ,player-5,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\併殺打.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\併殺打_all.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\出塁率.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\出塁率_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\出塁率__qualified.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\単打.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\単打_all.json,ネビン,埼玉西武ライオンズ,player-8,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\四球.json,ネビン,埼玉西武ライオンズ,player-4,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\四球_all.json,ネビン,埼玉西武ライオンズ,player-4,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\塁打.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\塁打_all.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\安打.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\安打_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\得点.json,ネビン,埼玉西武ライオンズ,player-6,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\得点_all.json,ネビン,埼玉西武ライオンズ,player-6,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打席.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打席_all.json,ネビン,埼玉西武ライオンズ,player-2,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打数.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
public\data\rankings\2025\PL\打数_all.json,ネビン,埼玉西武ライオンズ,player-3,53755150,T.Nevin,npb_roster_2026_name_team_all_rankings
