npb_player_id,status,birth_date_raw,pro_debut_raw,career_raw
"1003888","ok","1980年11月10日","1998年ドラフト1位","豊田大谷高"
"1003889","ok","1971年8月2日","1993年ドラフト2位","松商学園高 - 明治大"
"1005112","ok","1987年6月21日","2005年高校生ドラフト4巡目","加賀高"
"1005113","ok","1982年7月31日","2000年ドラフト5位","伊丹北高"
"1005114","ok","1985年6月24日","2006年大学生・社会人ドラフト希望枠","熊本・鎮西高 - 日産自動車"
"1005116","ok","1990年1月16日","2007年高校生ドラフト6巡目","北陸大谷高"
"1005117","ok","1984年6月25日","2002年ドラフト1巡目","東北高"
"1005130","ok","1996年8月8日","2014年ドラフト7位","横浜高"
"1005132","ok","1993年4月18日","2015年ドラフト1位","日大三高 - 明治大"
"1005133","ok","1993年1月30日","2010年育成選手ドラフト4位","蒲郡高"
"1005134","ok","1998年9月27日","2016年ドラフト2位","花咲徳栄高"
"1005135","ok","1993年4月3日","2011年ドラフト1位","宮崎日大高"
"1005136","ok","1995年11月2日","2017年ドラフト2位","専大松戸高 - 専修大"
"1005137","ok","1990年6月20日","2012年ドラフト1位","沖縄尚学高 - 亜細亜大"
"1005138","ok","2000年4月2日","2018年ドラフト8位","松山聖陵高"
"1005139","ok","1988年9月29日","2013年ドラフト4位","今治北高 - 関西外国語大 - ニチダイ"
"1005153","ok","1996年5月13日","2020年ドラフト2位","木造高 - 富士大 - NTT東日本"
"1005157","ok","2004年6月6日","2022年ドラフト3位","日本文理高"
"1005159","ok","2006年3月21日","2023年ドラフト4位","常葉大菊川高"
"11013882","ok","1978年2月1日","1995年ドラフト5位","日南学園高"
"11013884","ok","1978年7月9日","1996年ドラフト3位","南部高"
"11013889","ok","1970年10月1日","1993年ドラフト4位","福崎高 - 新日鉄広畑"
"11015110","ok","1982年6月16日","2004年ドラフト自由枠","拓大紅陵高 - 新日本石油"
"11015112","ok","1981年12月4日","2005年大学生・社会人ドラフト希望枠","大体大浪商高 - 徳山大 - ホンダ鈴鹿"
"11015115","ok","1979年7月14日","2001年ドラフト5巡目","甲府工 - 国士舘大"
"11015116","ok","1989年9月18日","2007年高校生ドラフト1巡目","常葉菊川高"
"11015119","ok","1985年10月13日","2003年ドラフト6巡目","横浜高"
"11015130","ok","1986年10月21日","2014年ドラフト5位","北海高 - 室蘭シャークス"
"11015132","ok","1991年5月10日","2015年ドラフト2位","日大三高 - 明治大 - JR東日本"
"11015133","ok","1988年9月6日","2010年ドラフト1位","帝京五高 - 八戸大"
"11015136","ok","1999年6月18日","2017年育成選手ドラフト3位","沖縄尚学高"
"11015137","ok","1988年9月4日","2012年ドラフト6位","東京・大成高 - 高千穂大 - JR東日本"
"11015138","ok","1996年12月27日","2018年ドラフト1位","社高 - 立命館大"
"11015139","ok","1989年6月15日","2013年ドラフト2位","富田高 - 桐蔭横浜大 - 富士重工"
"11015150","ok","2002年12月24日","2024年ドラフト1位","県立岐阜商 - 青山学院大"
"11015151","ok","1997年7月28日","2019年ドラフト2位","福岡大大濠高 - 立命館大"
"11015152","ok","2003年4月30日","2025年ドラフト2位","木更津総合高 - 東洋大"
"11015153","ok","1998年9月22日","2020年育成選手ドラフト1位","豊南高 - 札幌学院大"
"11015155","ok","2003年9月8日","2021年ドラフト6位","明徳義塾高"
"11015157","ok","1998年7月9日","2022年ドラフト5位","前原高 - 九州共立大 - NTT西日本"
"11015159","ok","2002年3月10日","2023年ドラフト2位","筑陽学園高 - 上武大"
"1103882","ok","1977年9月14日","1995年ドラフト4位","東京学館高"
"1103883","ok","1971年12月30日","1990年ドラフト1位","上宮高"
"1103884","ok","1974年3月12日","1996年ドラフト3位","西条農 - 三菱重工広島"
"1103886","ok","1979年7月13日","1997年ドラフト2位","水戸商"
"1103888","ok","1977年1月30日","1998年ドラフト6位","広島工 - 駒沢大"
"1105110","ok","1986年6月7日","2004年ドラフト5巡目","菰野高"
"1105111","ok","1981年4月12日","1999年ドラフト5位","堀越高"
"1105112","ok","1983年8月16日","2005年大学生・社会人ドラフト4巡目","広陵高 - 駒沢大"
"1105113","ok","1982年6月1日","2000年ドラフト4位","宿毛高"
"1105115","ok","1983年11月8日","2001年ドラフト9巡目","福井商"
"1105117","ok","1985年3月15日","2002年ドラフト7巡目","育英高"
"1105118","ok","1984年10月19日","2008年ドラフト3位","藤代高 - 中央大 - 住友金属鹿島"
"1105119","ok","1979年11月6日","2003年ドラフト5巡目","広陵高 - 駒沢大 - NKK - JFE西日本"
"1105130","ok","1996年10月11日","2014年ドラフト7位","日本文理高"
"1105131","ok","1987年7月26日","2009年ドラフト3位","帝京三高 - 近畿大"
"1105132","ok","1990年11月14日","2015年ドラフト9位","東海大山形高 - 東海大 - 鷺宮製作所"
"1105133","ok","1986年1月25日","2010年ドラフト3位","横浜高 - 東海大 - トヨタ自動車"
"1105134","ok","1994年10月1日","2016年ドラフト2位","創価高 - 創価大"
"1105135","ok","1993年4月27日","2011年ドラフト3位","東大阪大柏原高"
"1105136","ok","1995年7月12日","2017年育成選手ドラフト1位","桐生第一高 - 上武大"
"1105137","ok","1990年11月27日","2012年育成選手ドラフト3位","神戸弘陵高 - 東京農業大生産学部"
"1105138","ok","1997年3月2日","2018年ドラフト6位","金沢西高 - 金沢星稜大"
"1105151","ok","2001年6月7日","2019年育成選手ドラフト1位","黒沢尻工"
"1105153","ok","1992年11月3日","2020年ドラフト6位","酒田南高 - 成美大 - 日本生命"
"1105155","ok","2003年5月21日","2021年ドラフト2位","千葉学芸高"
"1105159","ok","2001年6月20日","2023年ドラフト5位","星城高 - JR西日本"
"11213880","ok","1976年6月11日","1994年ドラフト5位","福井商"
"11213884","ok","1974年6月8日","1996年ドラフト3位","帝京高 - 早稲田大"
