npb_player_id,name_ja,gurazeni_id,cache,title,title_name_hint,normalized_expected,normalized_hint,status
01005134,高橋 昂也,1412,missing,,,高橋昂也,,cache_missing
01105135,石川 慎吾,511,missing,,,石川慎吾,,cache_missing
01305157,大津 亮介,2362,missing,,,大津亮介,,cache_missing
01405130,野間 峻祥,1124,missing,,,野間峻祥,,cache_missing
01405138,林 晃汰,1677,missing,,,林晃汰,,cache_missing
01505157,北村 恵吾,2350,missing,,,北村恵吾,,cache_missing
01605132,平沼 翔太,2539,missing,,,平沼翔太,,cache_missing
01605138,増田 陸,1658,missing,,,増田陸,,cache_missing
01605152,冨士 隼斗,2817,missing,,,冨士隼斗,,cache_missing
01605157,林 優樹,2291,missing,,,林優樹,,cache_missing
01705130,栗原 陵矢,1034,missing,,,栗原陵矢,,cache_missing
01805151,武藤 敦貴,1803,missing,,,武藤敦貴,,cache_missing
03305152,Ｊ．カスティーヨ,2905,missing,,,Ｊ．カスティーヨ,,cache_missing
11015150,佐々木 泰,2690,missing,,,佐々木泰,,cache_missing
11015151,坂本 裕哉,1900,missing,,,坂本裕哉,,cache_missing
11015152,島田 舜也,2841,missing,,,島田舜也,,cache_missing
11015153,近藤 廉,2043,missing,,,近藤廉,,cache_missing
11015157,平良 竜哉,2307,missing,,,平良竜哉,,cache_missing
11215114,田中 将大,678,missing,,,田中将大,,cache_missing
11215116,中村 晃,646,missing,,,中村晃,,cache_missing
11215132,谷川原 健太,1180,missing,,,谷川原健太,,cache_missing
11215134,田中 和基,1386,missing,,,田中和基,,cache_missing
11315153,五十幡 亮汰,1948,missing,,,五十幡亮汰,,cache_missing
11515137,小川 泰弘,165,missing,,,小川泰弘,,cache_missing
11515138,小島 和哉,1713,missing,,,小島和哉,,cache_missing
11615134,長谷川 宙輝,1350,missing,,,長谷川宙輝,,cache_missing
11615155,野村 勇,2215,missing,,,野村勇,,cache_missing
11715153,小川 龍成,2017,missing,,,小川龍成,,cache_missing
11715155,川村 友斗,2217,missing,,,川村友斗,,cache_missing
11815132,堀内 謙伍,1241,missing,,,堀内謙伍,,cache_missing
11815136,増田 珠,1554,missing,,,増田珠,,cache_missing
11815159,福島 圭音,2512,missing,,,福島圭音,,cache_missing
11915130,齋藤 綱記,1048,missing,,,斎藤綱記,,cache_missing
11915132,坂本 誠志郎,1283,missing,,,坂本誠志郎,,cache_missing
13315153,村上 頌樹,1959,missing,,,村上頌樹,,cache_missing
13715150,Ｊ．デュプランティエ,2734,missing,,,Ｊ．デュプランティエ,,cache_missing
13915152,Ｊ．リランソ,2925,missing,,,Ｊ．リランソ,,cache_missing
2103847,大竹 風雅,2216,missing,,,大竹風雅,,cache_missing
2112130,藤原 大翔,2450,missing,,,藤原大翔,,cache_missing
21125151,石原 貴規,1833,missing,,,石原貴規,,cache_missing
21125155,池田 来翔,2163,missing,,,池田来翔,,cache_missing
21125159,石田 裕太郎,2449,missing,,,石田裕太郎,,cache_missing
21225133,西川 遥輝,499,missing,,,西川遥輝,,cache_missing
21225136,中川 虎大,1519,missing,,,中川虎大,,cache_missing
21325134,大山 悠輔,1461,missing,,,大山悠輔,,cache_missing
21325136,大城 卓三,1522,missing,,,大城卓三,,cache_missing
21325157,大野 稼頭央,2372,missing,,,大野稼頭央,,cache_missing
21425151,橋本 侑樹,1861,missing,,,橋本侑樹,,cache_missing
21425159,中島 大輔,2513,missing,,,中島大輔,,cache_missing
21525139,加治屋 蓮,943,missing,,,加治屋蓮,,cache_missing
21625135,松本 剛,496,missing,,,松本剛,,cache_missing
21625157,樋口 正修,2392,missing,,,樋口正修,,cache_missing
21725157,才木 海翔,2288,missing,,,才木海翔,,cache_missing
23525153,Ｊ．オスナ,2011,missing,,,Ｊ．オスナ,,cache_missing
31035136,平良 海馬,1566,missing,,,平良海馬,,cache_missing
