file,name,team,old_player_id,new_player_id,roman_name
public\data\rankings\pitching\2006\CL\完封_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\完投.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\完投_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\敗戦.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\敗戦_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\敬遠.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\敬遠_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\暴投.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\暴投_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\死球.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\死球_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\自責.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\自責_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\被安.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\被安_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\被打者.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\被打者_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\被本.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\被本_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\試合.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\試合_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\防御率.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\防御率_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\ＨＰ.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
public\data\rankings\pitching\2006\CL\ＨＰ_all.json,石川 雅規,東京ヤクルトスワローズ,player-73,11315115,M.Ishikawa
