player_id,name_ja,status,roman_skipped,roman_short,birth_date_raw,pro_debut_raw,career_raw,network
1203886,藤田　宗一,ok,True,S.Fujita,1972年10月17日,1997年ドラフト3位,島原中央高 - 西濃運輸,0
1205110,普久原　淳一,ok,True,J.Fukuhara,1983年1月13日,2004年ドラフト12巡目,桐蔭学園高 - 法政大,0
1205111,南　竜介,ok,True,R.Minami,1981年7月9日,1999年ドラフト5位,報徳学園高,0
1205112,根元　俊一,ok,True,S.Nemoto,1983年7月8日,2005年大学生・社会人ドラフト3巡目,花咲徳栄高 - 東北福祉大,0
1205113,藤田　太陽,ok,True,T.Fujita,1979年11月1日,2000年ドラフト1位,新屋高 - 川崎製鉄千葉,0
1205114,堂上　直倫,ok,True,N.Donoue,1988年9月23日,2006年高校生ドラフト1巡目,愛工大名電高,0
1205115,林　昌範,ok,True,M.Hayashi,1983年9月19日,2001年ドラフト7巡目,市立船橋高,0
1205116,長谷部　康平,ok,True,K.Hasebe,1985年5月21日,2007年大学生・社会人ドラフト1巡目,杜若高 - 愛知工業大,0
1205117,永川　勝浩,ok,True,K.Nagakawa,1980年12月14日,2002年ドラフト自由枠,新庄高 - 亜細亜大,0
1205118,西野　勇士,ok,True,Y.Nishino,1991年3月6日,2008年育成選手ドラフト5位,新湊高,0
1205119,山崎　敏,ok,True,S.Yamazaki,1981年4月8日,2003年ドラフト自由枠,勢多農林高 - 平成国際大,0
1205130,戸川　大輔,ok,True,D.Togawa,1996年4月29日,2014年育成選手ドラフト1位,北海高,0
1205131,古川　秀一,ok,True,S.Furukawa,1987年7月15日,2009年ドラフト1位,清峰高 - 日本文理大,0
1205134,田村　伊知郎,ok,True,I.Tamura,1994年9月19日,2016年ドラフト6位,報徳学園高 - 立教大,0
1205135,徳山　武陽,ok,True,T.Tokuyama,1989年7月21日,2011年育成選手ドラフト1位,三田学園高 - 立命館大,0
1205137,松永　昂大,ok,True,T.Matsunaga,1988年4月16日,2012年ドラフト1位,高松商 - 関西国際大 - 大阪ガス,0
1205138,中村　稔弥,ok,True,T.Nakamura,1996年7月8日,2018年ドラフト5位,清峰高 - 亜細亜大,0
1205151,田部　隼人,ok,True,H.Tanabe,2001年12月22日,2019年ドラフト5位,開星高,0
1205153,高田　孝一,ok,True,K.Takada,1998年6月3日,2020年ドラフト2位,平塚学園高 - 法政大,0
1205155,達　孝太,ok,True,K.Tatsu,2004年3月27日,2021年ドラフト1位,天理高,0
1303864,紀藤　真琴,ok,True,M.Kitou,1965年5月12日,1983年ドラフト3位,中京高,0
1303868,山﨑　武司,ok,True,T.Yamasaki,1968年11月7日,1986年ドラフト2位,愛工大名電高,0
1303880,川尻　哲郎,ok,True,T.Kawajiri,1969年1月5日,1994年ドラフト4位,日大二高 - 亜細亜大 - 日産自動車,0
1303882,門倉　健,ok,True,K.Kadokura,1973年7月29日,1995年ドラフト2位,聖望学園高 - 東北福祉大,0
1303885,片岡　篤史,ok,True,A.Kataoka,1969年6月27日,1991年ドラフト2位,PL学園高 - 同志社大,0
1303886,小田　智之,ok,True,T.Oda,1979年5月19日,1997年ドラフト2位,興誠高,0
1305110,片岡　治大,ok,True,Y.Kataoka,1983年2月17日,2004年ドラフト3巡目,宇都宮学園高 - 東京ガス,0
1305112,梅原　伸亮,ok,True,N.Umehara,1983年9月13日,2005年大学生・社会人ドラフト4巡目,金光大阪高 - 京都学園大,0
1305113,上村　和裕,ok,True,K.Uemura,1983年2月20日,2000年ドラフト3位,北照高,0
1305114,上野　弘文,ok,True,H.Ueno,1981年4月10日,2006年大学生・社会人ドラフト3巡目,樟南高 - トヨタ自動車,0
1305115,今江　年晶,ok,True,T.Imae,1983年8月26日,2001年ドラフト3巡目,PL学園高,0
1305116,大田　阿斗里,ok,True,A.Oota,1989年8月12日,2007年高校生ドラフト3巡目,帝京高,0
1305117,江草　仁貴,ok,True,H.Egusa,1980年9月3日,2002年ドラフト自由枠,盈進高 - 専修大,0
1305118,上本　博紀,ok,True,H.Uemoto,1986年7月4日,2008年ドラフト3位,広陵高 - 早稲田大,0
1305119,香月　良太,ok,True,R.Katsuki,1982年7月27日,2003年ドラフト自由枠,柳川高 - 東芝,0
1305130,植田　海,ok,True,K.Ueda,1996年4月19日,2014年ドラフト5位,近江高,0
1305131,大島　洋平,ok,True,Y.Ooshima,1985年11月9日,2009年ドラフト5位,享栄高 - 駒沢大 - 日本生命,0
1305132,今永　昇太,ok,True,S.Imanaga,1993年9月1日,2015年ドラフト1位,北筑高 - 駒沢大,0
1305133,榎田　大樹,ok,True,D.Enokida,1986年8月7日,2010年ドラフト1位,小林西高 - 福岡大 - 東京ガス,0
1305136,大下　佑馬,ok,True,Y.Ooshita,1992年7月6日,2017年ドラフト2位,崇徳高 - 亜細亜大 - 三菱重工広島,0
1305137,大谷　翔平,ok,True,S.Ootani,1994年7月5日,2012年ドラフト1位,花巻東高,0
1305138,大貫　晋一,ok,True,S.Oonuki,1994年2月3日,2018年ドラフト3位,桐陽高 - 日本体育大 - 新日鉄住金鹿島,0
1305139,内田　靖人,ok,True,Y.Uchida,1995年5月30日,2013年ドラフト2位,常総学院高,0
1305151,上野　響平,ok,True,K.Ueno,2001年4月26日,2019年ドラフト3位,京都国際高,0
1305153,井上　朋也,ok,True,T.Inoue,2003年1月28日,2020年ドラフト1位,花咲徳栄高,0
1305155,大里　昂生,ok,True,K.Oosato,1999年7月7日,2021年育成選手ドラフト3位,盛岡大付高 - 東北福祉大,0
1305157,大津　亮介,ok,True,R.Ootsu,1999年1月13日,2022年ドラフト2位,九州産大九州高 - 帝京大 - 日本製鉄鹿島,0
1403862,山本昌,ok,True,M.Yamamotomasa（yamamoto,1965年8月11日,1983年ドラフト5位,日大藤沢高,0
