year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR,K,GIDP
2025,PL,千葉ロッテマリーンズ,61765153,河村　説人,Kawamura Tokito,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,北海道日本ハムファイターズ,61765155,畔柳　亨丞,Kuroyanagi Kyousuke,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,オリックス・バファローズ,61765159,権田　琉成,Gonda Ryuusei,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,北海道日本ハムファイターズ,61865153,細川　凌平,Hosokawa Ryouhei,16.0,19.0,16.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0,2.0,0.0,1.0,0,0.0,2.0,0.0,0.125,0.176,0.125,0.301,2.0,0.0,0.05099999999999999,0.176,5.263157894736842,10.526315789473683,0.5,0.14285714285714285,0.11044999999999999,217.66666666666666,0.0625,0.21428571428571427,0.125,2.0,0.0,1.0,16.0,19.0,16.0,2.0,0.0,0.0,1.0,0.176,0.125,1.0,0,0.0,,2.0,0.0,0,2.0,0.0,,0.02652631578947151,0.14400000000000002,,
2025,PL,北海道日本ハムファイターズ,61865159,細野　晴希,Hosono Haruki,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,オリックス・バファローズ,61965132,杉本　裕太郎,Sugimoto Yuutarou,119.0,455.0,401.0,48.0,104.0,15.0,2.0,16.0,171.0,53.0,0.0,0,0.0,7.0,38.0,0,9.0,123.0,8.0,0.259,0.332,0.426,0.758,71.0,0.16699999999999998,0.07300000000000001,0.499,8.35164835164835,27.032967032967033,0.3089430894308943,0.3271375464684015,0.2559,474.0,0.26184538653366585,0.7147540983606557,0.259,104.0,16.0,53.0,119.0,455.0,401.0,71.0,15.0,2.0,48.0,0.332,0.426,38.0,0,9.0,,171.0,0.0,0,0.0,7.0,,57.4295238095238,59.31599999999999,,
2025,PL,オリックス・バファローズ,61965136,博志,Hiroshi（suzuki Hiroshi）,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,nan,0.0,,,,nan,nan,nan,nan,nan,nan,nan,nan,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0,,
2025,PL,東北楽天ゴールデンイーグルス,61965151,小深田　大翔,Kobukata Hiroto,124.0,357.0,299.0,36.0,65.0,5.0,2.0,1.0,77.0,14.0,8.0,0,16.0,1.0,40.0,0,1.0,65.0,1.0,0.217,0.311,0.258,0.569,57.0,0.04100000000000001,0.094,0.352,11.204481792717088,18.207282913165265,0.6153846153846154,0.27350427350427353,0.20445,397.0,0.20066889632107024,0.5361702127659574,0.217,65.0,1.0,14.0,124.0,357.0,299.0,57.0,5.0,2.0,36.0,0.311,0.258,40.0,0,1.0,,77.0,8.0,0,16.0,1.0,,29.186745098039125,30.06,,
2025,PL,オリックス・バファローズ,61965157,杉澤　龍,Sugisawa Ryuu,14.0,16.0,15.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,0,1.0,0.0,0.0,0,0.0,4.0,0.0,0.2,0.2,0.267,0.467,2.0,0.067,0.0,0.267,0.0,25.0,0.0,0.2727272727272727,0.15675,289.00000000000006,0.13333333333333333,0.4166666666666667,0.2,3.0,0.0,2.0,14.0,16.0,15.0,2.0,1.0,0.0,0.0,0.2,0.267,0.0,0,0.0,,4.0,1.0,0,1.0,0.0,,0.8518749999999997,0.828,,
2025,PL,千葉ロッテマリーンズ,63065155,G.ポランコ,Gregory Polanco,39.0,154.0,139.0,13.0,28.0,3.0,0.0,5.0,46.0,13.0,0.0,0,0.0,1.0,14.0,0,0.0,35.0,1.0,0.201,0.273,0.331,0.6040000000000001,20.0,0.13,0.07200000000000001,0.403,9.090909090909092,22.727272727272727,0.4,0.23,0.2056,383.33333333333337,0.2302158273381295,0.5357142857142857,0.201,28.0,5.0,13.0,39.0,154.0,139.0,20.0,3.0,0.0,13.0,0.273,0.331,14.0,0,0.0,,46.0,0.0,0,0.0,1.0,,12.818378066378045,13.850000000000001,,
