year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1980,PL,阪急ブレーブス,31333843,稲葉　光雄,M.Inaba,6.36,-4.5,1.78,5,8,22,109.0,1,513,136,20,58,,6,35,77,85,,,6,0,0.385,6.8,11.3,4,0
1980,PL,阪急ブレーブス,51353843,今井　雄太郎,Y.Imai,5.93,0.0,1.74,8,5,26,121.1,3,566,154,19,57,,9,57,80,84,,,3,0,0.615,10.1,10.1,2,0
1980,PL,阪急ブレーブス,21123849,石田　真,M.Ishida,0.0,0.0,0.0,0,0,1,1.0,0,3,0,0,0,,0,0,0,0,,,0,0,0.0,0.0,0.0,0,0
1980,PL,阪急ブレーブス,21323861,金本　誠吉,S.Kanamoto,6.6,7.5,1.43,0,2,9,30.0,1,134,35,9,8,,2,18,22,22,,,0,0,0.0,13.4,6.0,0,0
1980,PL,阪急ブレーブス,11513861,木下　智彦,T.Kinoshita,14.73,-8.3,3.27,0,1,1,3.2,0,24,10,0,2,,0,0,6,7,,,0,0,0.0,0.0,8.3,0,0
1980,PL,阪急ブレーブス,91393844,佐藤　義則,Y.Satou,5.84,2.0,1.59,4,13,30,135.2,0,615,135,30,81,,4,93,88,98,,,4,0,0.235,15.1,13.2,2,1
1980,PL,阪急ブレーブス,21523822,白石　静生,S.Shiraishi,7.02,-5.6,1.94,3,3,12,57.2,0,285,77,11,35,,2,19,45,52,,,1,1,0.5,6.7,12.3,0,1
1980,PL,阪急ブレーブス,91793861,関口　朋幸,T.Sekiguchi,5.03,0.7,1.49,3,6,21,96.2,1,429,110,17,34,,3,37,54,65,,,2,0,0.333,8.6,7.9,0,0
1980,PL,阪急ブレーブス,41943843,谷村　智啓,T.Tanimura,4.75,-0.7,1.46,7,7,31,140.1,2,606,166,27,39,,11,35,74,80,,,4,0,0.5,5.8,6.4,0,0
1980,PL,阪急ブレーブス,31433841,松本　幸行,Y.Matsumoto,3.87,1.7,1.33,10,5,24,137.1,1,574,164,22,18,,1,28,59,70,,,8,2,0.667,4.9,3.1,2,0
1980,PL,阪急ブレーブス,51953846,松本　祥志,S.Matsumoto,7.63,-3.8,2.12,1,1,9,30.2,0,158,39,8,26,,2,20,26,30,,,0,0,0.5,12.7,16.5,1,0
1980,PL,阪急ブレーブス,91993846,三浦　広之,H.Miura,4.25,-0.9,1.44,3,3,9,48.2,0,212,47,8,23,,3,21,23,27,,,4,0,0.5,9.9,10.8,1,0
1980,PL,阪急ブレーブス,51253828,山田　久志,H.Yamada,2.96,6.4,1.15,13,10,30,200.2,1,823,172,28,59,,5,112,66,84,,,18,1,0.565,13.6,7.2,0,0
1980,PL,阪急ブレーブス,21023849,山下　浩二,K.Yamashita,30.86,-16.7,6.0,0,0,2,2.1,0,18,10,1,4,,0,1,8,8,,,0,0,0.0,5.6,22.2,0,0
1980,PL,阪急ブレーブス,51753840,山口　高志,T.Yamaguchi,5.14,-14.0,2.07,1,3,17,28.0,3,136,27,5,31,,0,12,16,16,,,0,0,0.25,8.8,22.8,1,0
1980,PL,阪急ブレーブス,81083861,矢田　万寿男,M.Yata,9.0,13.3,2.33,0,0,1,3.0,0,15,7,0,0,,0,2,3,3,,,0,0,0.0,13.3,0.0,0,0
1980,PL,南海ホークス,81183841,上田　次朗,J.Ueda,5.16,3.8,1.39,6,6,30,113.1,1,495,116,25,41,,12,60,65,70,,,1,0,0.5,12.1,8.3,1,0
1980,PL,南海ホークス,61563825,大石　弥太郎,Y.Ooishi,4.88,-2.6,1.79,0,0,15,24.0,0,114,34,7,9,,0,6,13,17,,,0,0,0.0,5.3,7.9,0,0
1980,PL,南海ホークス,41343845,金城　基泰,M.Kaneshiro,3.65,11.1,1.09,6,4,31,56.2,13,234,45,13,17,,4,43,23,25,,,0,0,0.6,18.4,7.3,0,0
1980,PL,南海ホークス,91393861,貝塚　博次,H.Kaizuka,0.0,-20.0,2.0,0,0,1,1.0,0,5,1,0,1,,0,0,0,0,,,0,0,0.0,0.0,20.0,0,0
1980,PL,南海ホークス,61563861,高　英傑,E.Kou,4.39,4.6,1.12,3,1,6,26.2,0,108,25,8,5,,1,10,13,15,,,1,0,0.75,9.3,4.6,0,0
1980,PL,南海ホークス,31933825,佐々木　宏一郎,K.Sasaki,7.98,-0.7,1.74,3,4,19,58.2,0,277,81,17,21,,5,19,52,55,,,1,0,0.429,6.9,7.6,3,0
1980,PL,南海ホークス,31933843,杉田　久雄,H.Sugita,8.35,-5.8,1.91,0,1,6,18.1,0,86,26,4,9,,1,4,17,21,,,0,0,0.0,4.7,10.5,0,0
1980,PL,南海ホークス,41543842,田村　政雄,M.Tamura,8.16,-3.5,1.81,0,2,17,43.0,1,201,56,12,22,,2,15,39,43,,,0,0,0.0,7.5,10.9,0,0
1980,PL,南海ホークス,61563842,高木　孝治,K.Takagi,0.0,0.0,0.75,0,0,2,1.1,0,5,1,0,0,,0,0,0,0,,,0,0,0.0,0.0,0.0,0,0
1980,PL,南海ホークス,31933861,竹口　昭憲,A.Takeguchi,5.4,-6.0,2.06,1,0,14,23.1,0,116,27,5,21,,3,14,14,16,,,0,0,1.0,12.1,18.1,0,0
1980,PL,南海ホークス,01903861,名取　和彦,,6.45,-1.6,1.79,5,12,30,120.0,0,570,144,34,71,,6,62,86,92,,,0,0,0.294,10.9,12.5,0,0
1980,PL,南海ホークス,21723846,平沢　隆好,T.Hirasawa,7.29,5.3,1.68,1,0,18,33.1,0,152,44,9,12,,0,20,27,27,,,0,0,1.0,13.2,7.9,0,0
1980,PL,南海ホークス,11913842,藤田　学,M.Fujita,5.56,1.0,1.6,3,4,18,68.0,1,307,87,13,22,,0,25,42,43,,,2,0,0.429,8.1,7.2,1,0
1980,PL,南海ホークス,21023847,三浦　政基,M.Miura,5.51,-0.3,1.43,3,2,42,81.2,2,352,87,12,30,,2,29,50,51,,,0,0,0.6,8.2,8.5,1,0
1980,PL,南海ホークス,01003861,水谷　茂雄,,6.9,-4.4,0.6,1,0,11,30.0,0,136,30,6,18,,4,12,23,24,,,0,0,1.0,8.8,13.2,0,0
1980,PL,南海ホークス,21923846,村上　之宏,Y.Murakami,7.38,-7.5,1.96,4,11,24,103.2,0,509,116,20,87,,4,49,85,90,,,3,0,0.267,9.6,17.1,5,0
1980,PL,南海ホークス,31033844,森口　益光,M.Moriguchi,5.46,0.3,1.57,3,14,20,130.1,0,581,155,19,49,,3,51,79,89,,,8,0,0.176,8.8,8.4,1,0
1980,PL,南海ホークス,31233828,山内　新一,S.Yamauchi,3.79,0.9,1.38,9,16,28,206.2,0,888,236,30,49,,4,57,87,106,,,14,0,0.36,6.4,5.5,0,0
1980,PL,大阪近鉄バファローズ,91193847,井本　隆,T.Imoto,4.38,4.0,1.34,15,8,35,205.2,1,878,217,42,59,,5,94,100,118,,,12,1,0.652,10.7,6.7,3,0
1980,PL,大阪近鉄バファローズ,61363841,太田　幸司,K.Oota,10.66,1.6,2.05,0,4,14,38.0,0,189,64,9,14,,1,17,45,47,,,0,0,0.0,9.0,7.4,3,0
