year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1957,PL,阪急ブレーブス,31133898,阿部　八郎,H.Abe,3.08,6.1,1.23,6,8,28,122.2,,508,121,4,30,,0,61,42,46,,,7,4,0.429,12.0,5.9,1,0
1957,PL,阪急ブレーブス,91193802,秋本　祐作,Y.Akimoto,3.95,8.1,1.21,2,2,22,57.0,,234,49,3,20,,3,39,25,30,,,0,0,0.5,16.7,8.5,0,0
1957,PL,阪急ブレーブス,91793809,梶本　隆夫,T.Kajimoto,1.92,15.7,1.04,24,16,53,337.1,,1328,259,13,92,,4,301,72,95,,,26,7,0.6,22.7,6.9,5,0
1957,PL,阪急ブレーブス,11713800,金具　洋右,Y.Kanagu,9.0,-20.0,3.0,0,0,1,1.0,,5,2,1,1,,0,0,1,1,,,0,0,0.0,0.0,20.0,0,0
1957,PL,阪急ブレーブス,01303804,梶本　靖郎,,15.0,18.8,2.33,0,0,3,3.0,,16,6,2,1,,0,4,5,5,,,0,0,0.0,25.0,6.2,1,0
1957,PL,阪急ブレーブス,01603801,柴田　英治,,3.28,4.7,1.18,4,4,37,112.2,,465,108,5,25,,1,47,41,47,,,2,0,0.5,10.1,5.4,2,0
1957,PL,阪急ブレーブス,21523803,鈴木　幸雄,S.Suzuki,0.0,-100.0,,0,0,1,,,2,0,,2,,0,0,0,1,,,0,0,0.0,0.0,100.0,0,0
1957,PL,阪急ブレーブス,61563803,種田　弘,H.Taneda,1.99,7.6,1.07,8,7,36,149.1,,592,139,4,21,,2,66,33,45,,,6,2,0.533,11.1,3.5,0,0
1957,PL,阪急ブレーブス,61563895,天保　義夫,Y.Tenpo,3.0,-3.8,1.17,0,0,3,6.0,,26,5,3,2,,0,1,2,6,,,0,0,0.0,3.8,7.7,0,0
1957,PL,阪急ブレーブス,71073804,西田　稔,M.Nishida,0.0,0.0,0.57,1,0,1,7.0,,25,3,0,1,,0,1,0,0,,,0,0,1.0,4.0,4.0,0,0
1957,PL,阪急ブレーブス,11713898,林　義一,G.Hayashi,2.72,6.0,1.22,4,2,21,59.2,,250,66,4,7,,1,22,18,31,,,1,0,0.667,8.8,2.8,1,0
1957,PL,阪急ブレーブス,63963801,原田　孝一,K.Harada,4.13,7.9,1.32,1,0,13,32.2,,140,39,2,4,,0,15,15,17,,,0,0,1.0,10.7,2.9,1,0
1957,PL,阪急ブレーブス,83183802,米田　哲也,T.Yoneda,1.86,15.6,0.99,21,16,50,299.2,,1179,212,10,84,,7,268,62,82,,,17,4,0.568,22.7,7.1,1,2
1957,PL,阪急ブレーブス,01603804,吉川　久一,,9.0,21.4,1.67,0,0,2,3.0,,14,5,0,0,,0,3,3,3,,,0,0,0.0,21.4,0.0,0,0
1957,PL,南海ホークス,31133804,東　実,M.Azuma,3.25,7.6,1.32,1,4,31,72.0,,301,68,8,27,,2,50,26,30,,,0,0,0.2,16.6,9.0,0,0
1957,PL,南海ホークス,71373805,小畑　正治,M.Obata,7.48,-2.4,1.73,2,2,9,27.2,,127,37,5,11,,2,8,23,24,,,0,0,0.5,6.3,8.7,1,0
1957,PL,南海ホークス,51553804,木村　保,T.Kimura,2.47,7.4,1.04,21,11,47,222.2,,890,175,23,56,,3,122,61,71,,,9,5,0.656,13.7,6.3,1,0
1957,PL,南海ホークス,41943807,白崎　泰夫,Y.Shirasaki,1.63,17.0,0.83,2,0,9,27.2,,106,18,1,5,,1,23,5,5,,,1,0,1.0,21.7,4.7,0,0
