year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
2021,PL,福岡ソフトバンクホークス,,石川 柊太,,3.4,12.7,1.19,6,9,28,156.1,0,653,135,22,51,0,17,134,59,70,0,0,0,0,0.4,20.5,7.8,3,0
2021,PL,福岡ソフトバンクホークス,,泉 圭輔,,2.73,15.3,1.25,1,2,31,26.1,0,111,20,4,13,0,3,30,8,10,6,7,0,0,0.333,27.0,11.7,2,0
2021,PL,福岡ソフトバンクホークス,,岩嵜 翔,,4.17,25.1,1.06,2,5,48,45.1,6,179,37,7,11,2,0,56,21,21,14,16,0,0,0.286,31.3,6.1,1,0
2021,PL,福岡ソフトバンクホークス,,大関 友久,,2.35,3.4,0.96,0,0,12,23.0,0,88,12,1,10,0,2,13,6,6,0,0,0,0,0.0,14.8,11.4,0,0
2021,PL,福岡ソフトバンクホークス,,大竹 耕太郎,,15.75,-9.1,2.5,0,1,2,4.0,0,22,7,0,3,0,0,1,7,7,1,1,0,0,0.0,4.5,13.6,0,0
2021,PL,福岡ソフトバンクホークス,,尾形 崇斗,,0.87,20.6,0.48,0,0,8,10.1,0,34,3,1,2,0,0,9,1,1,0,0,0,0,0.0,26.5,5.9,0,0
2021,PL,福岡ソフトバンクホークス,,甲斐野 央,,4.35,17.0,1.26,0,2,22,20.2,1,88,16,3,10,0,2,25,10,10,4,4,0,0,0.0,28.4,11.4,1,0
2021,PL,福岡ソフトバンクホークス,,笠谷 俊介,,4.27,11.1,1.47,3,4,16,59.0,0,262,52,12,35,0,2,64,28,30,0,1,0,0,0.429,24.4,13.4,0,0
2021,PL,福岡ソフトバンクホークス,,嘉弥真 新也,,4.71,11.6,1.22,1,0,58,28.2,0,121,22,2,13,1,1,27,15,16,19,20,0,0,1.0,22.3,10.7,0,0
2021,PL,福岡ソフトバンクホークス,,川原 弘之,,7.71,-7.1,2.57,0,0,3,2.1,0,14,3,0,3,0,1,2,2,2,0,0,0,0,0.0,14.3,21.4,0,0
2021,PL,福岡ソフトバンクホークス,,スチュワート・ジュニア,,6.08,13.4,1.77,0,2,11,23.2,0,112,21,0,21,0,1,36,16,18,1,1,0,0,0.0,32.1,18.8,4,0
2021,PL,福岡ソフトバンクホークス,,杉山 一樹,,3.2,-1.7,1.74,2,2,15,25.1,0,117,13,1,31,0,2,29,9,9,1,3,0,0,0.5,24.8,26.5,1,0
2021,PL,福岡ソフトバンクホークス,,千賀 滉大,,2.66,18.5,1.03,10,3,13,84.2,0,340,60,2,27,0,2,90,25,25,0,0,0,0,0.769,26.5,7.9,7,0
2021,PL,福岡ソフトバンクホークス,,田浦 文丸,,3.38,11.1,1.36,1,0,19,21.1,0,90,22,1,7,1,0,17,8,8,1,2,0,0,1.0,18.9,7.8,2,0
2021,PL,福岡ソフトバンクホークス,,髙橋 純平,,0.0,6.5,1.09,1,1,10,11.0,0,46,6,0,6,0,1,9,0,1,2,3,0,0,0.5,19.6,13.0,2,0
2021,PL,福岡ソフトバンクホークス,,高橋 礼,,5.82,-10.7,1.85,1,1,11,34.0,0,168,31,3,32,0,6,14,22,25,0,0,0,0,0.5,8.3,19.0,0,0
2021,PL,福岡ソフトバンクホークス,,武田 翔太,,2.68,15.6,1.16,4,5,12,77.1,0,314,66,7,24,0,2,73,23,23,0,0,1,0,0.444,23.2,7.6,2,0
2021,PL,福岡ソフトバンクホークス,,田中 正義,,2.16,9.0,1.02,0,0,18,16.2,0,67,9,2,8,0,0,14,4,5,1,1,0,0,0.0,20.9,11.9,3,0
2021,PL,福岡ソフトバンクホークス,,津森 宥紀,,2.18,26.5,0.97,1,0,45,33.0,0,132,24,2,8,1,2,43,8,8,11,12,0,0,1.0,32.6,6.1,0,0
2021,PL,福岡ソフトバンクホークス,,二保 旭,,4.76,5.7,1.5,0,1,2,11.1,0,53,12,0,5,0,1,8,6,7,0,0,0,0,0.0,15.1,9.4,0,0
2021,PL,福岡ソフトバンクホークス,,板東 湧梧,,2.52,14.5,1.14,0,2,44,39.1,1,165,28,4,17,1,2,41,11,13,16,16,0,0,0.0,24.8,10.3,1,0
2021,PL,福岡ソフトバンクホークス,,東浜 巨,,3.7,12.0,1.42,4,4,14,75.1,0,326,85,7,22,0,3,61,31,36,0,0,0,0,0.5,18.7,6.7,0,0
2021,PL,福岡ソフトバンクホークス,,古谷 優人,,2.02,10.7,1.05,1,1,13,13.1,0,56,7,0,7,0,1,13,3,4,2,3,0,0,0.5,23.2,12.5,0,0
2021,PL,福岡ソフトバンクホークス,,マルティネス,,1.6,18.1,1.04,9,4,21,140.2,0,553,108,6,38,0,5,138,25,25,0,0,0,0,0.692,25.0,6.9,1,0
2021,PL,福岡ソフトバンクホークス,,松本 裕樹,,3.79,10.1,1.25,3,3,33,73.2,0,306,64,9,28,1,2,59,31,33,4,7,0,0,0.5,19.3,9.2,0,0
2021,PL,福岡ソフトバンクホークス,,モイネロ,,1.15,18.0,1.09,1,0,33,31.1,5,128,15,2,19,2,1,42,4,6,14,15,0,0,1.0,32.8,14.8,0,0
2021,PL,福岡ソフトバンクホークス,,森 唯斗,,4.03,13.6,1.03,1,3,30,29.0,15,118,20,6,10,0,0,26,13,13,0,1,0,0,0.25,22.0,8.5,0,0
2021,PL,福岡ソフトバンクホークス,,レイ,,2.02,16.7,0.88,3,1,6,40.0,0,150,22,3,13,0,3,38,9,10,0,0,1,1,0.75,25.3,8.7,0,0
2021,PL,福岡ソフトバンクホークス,,和田 毅,,4.48,14.1,1.29,5,6,18,94.1,0,396,95,14,27,1,3,83,47,49,0,0,0,0,0.455,21.0,6.8,0,0
2021,PL,福岡ソフトバンクホークス,,渡邉 雄大,,4.5,16.7,1.75,0,0,6,4.0,0,18,6,0,1,0,0,4,2,2,1,1,0,0,0.0,22.2,5.6,0,0
2021,PL,埼玉西武ライオンズ,,伊藤 翔,,4.0,-7.7,2.11,0,1,13,18.0,0,91,22,2,16,0,2,9,8,9,2,2,0,0,0.0,9.9,17.6,2,0
2021,PL,埼玉西武ライオンズ,,井上 広輝,,10.38,-3.6,3.46,0,0,4,4.1,0,28,9,1,6,0,0,5,5,5,0,0,0,0,0.0,17.9,21.4,0,0
2021,PL,埼玉西武ライオンズ,,今井 達也,,3.3,5.6,1.4,8,8,25,158.1,0,682,123,15,99,1,11,137,58,66,0,0,3,1,0.5,20.1,14.5,11,0
2021,PL,埼玉西武ライオンズ,,上間 永遠,,6.33,1.1,1.64,1,1,5,21.1,0,94,26,3,9,0,0,10,15,15,0,0,0,0,0.5,10.6,9.6,1,1
2021,PL,埼玉西武ライオンズ,,内海 哲也,,7.71,-5.6,2.29,1,0,2,7.0,0,36,11,2,5,0,0,3,6,6,0,0,0,0,1.0,8.3,13.9,1,0
2021,PL,埼玉西武ライオンズ,,大曲 錬,,0.0,0.0,0.75,0,0,4,4.0,0,13,1,0,2,0,0,2,0,0,1,1,0,0,0.0,15.4,15.4,0,0
2021,PL,埼玉西武ライオンズ,,小川 龍也,,9.0,-18.2,2.5,0,0,5,2.0,0,11,2,1,3,0,0,1,2,2,0,0,0,0,0.0,9.1,27.3,0,0
2021,PL,埼玉西武ライオンズ,,ギャレット,,3.77,10.1,1.57,4,3,61,57.1,2,258,57,6,33,0,0,59,24,28,17,21,0,0,0.571,22.9,12.8,3,1
2021,PL,埼玉西武ライオンズ,,公文 克彦,,0.79,11.6,0.97,0,0,14,11.1,0,43,8,0,3,0,0,8,1,1,3,3,0,0,0.0,18.6,7.0,0,0
2021,PL,埼玉西武ライオンズ,,佐々木 健,,8.31,-8.7,2.42,0,0,5,8.2,0,46,13,1,8,0,1,4,8,9,0,0,0,0,0.0,8.7,17.4,0,0
2021,PL,埼玉西武ライオンズ,,佐野 泰雄,,4.91,-1.2,1.64,0,0,23,18.1,0,84,22,1,8,1,2,7,10,10,2,2,0,0,0.0,8.3,9.5,1,0
2021,PL,埼玉西武ライオンズ,,ダーモディ,,5.13,6.0,1.77,0,2,11,33.1,0,151,46,2,13,0,0,22,19,22,0,0,0,0,0.0,14.6,8.6,0,0
2021,PL,埼玉西武ライオンズ,,平良 海馬,,0.9,17.0,1.07,3,4,62,60.0,20,247,36,0,28,2,5,70,6,6,21,24,0,0,0.429,28.3,11.3,3,0
2021,PL,埼玉西武ライオンズ,,髙橋 光成,,3.78,8.9,1.26,11,9,27,173.2,0,728,157,23,62,0,6,127,73,81,0,0,0,0,0.55,17.4,8.5,13,0
2021,PL,埼玉西武ライオンズ,,武隈 祥太,,1.76,9.2,1.01,0,2,46,30.2,0,120,17,2,14,1,0,25,6,7,9,9,0,0,0.0,20.8,11.7,0,0
2021,PL,埼玉西武ライオンズ,,田村 伊知郎,,2.9,3.1,1.06,1,0,22,31.0,1,130,17,2,16,2,4,20,10,10,0,1,0,0,1.0,15.4,12.3,0,0
2021,PL,埼玉西武ライオンズ,,十亀 剣,,3.38,4.0,1.5,1,1,40,40.0,0,176,41,1,19,0,2,26,15,18,8,9,0,0,0.5,14.8,10.8,0,0
2021,PL,埼玉西武ライオンズ,,ニール,,5.85,4.2,1.52,1,6,11,60.0,0,262,76,3,15,0,3,26,39,41,0,0,0,0,0.143,9.9,5.7,3,0
2021,PL,埼玉西武ライオンズ,,浜屋 将太,,6.63,0.0,1.77,1,6,8,36.2,0,174,39,8,26,0,4,26,27,27,0,0,0,0,0.143,14.9,14.9,4,0
2021,PL,埼玉西武ライオンズ,,平井 克典,,4.22,11.0,1.39,4,4,25,74.2,0,327,85,7,19,0,6,55,35,40,2,3,0,0,0.5,16.8,5.8,2,0
2021,PL,埼玉西武ライオンズ,,本田 圭佑,,4.21,-4.5,1.44,0,3,6,25.2,0,111,23,3,14,0,0,9,12,14,0,0,0,0,0.0,8.1,12.6,2,0
2021,PL,埼玉西武ライオンズ,,増田 達至,,4.99,12.2,1.27,0,3,33,30.2,8,131,32,4,7,1,1,23,17,17,9,9,0,0,0.0,17.6,5.3,1,0
2021,PL,埼玉西武ライオンズ,,松岡 洸希,,11.25,-18.2,2.5,0,0,5,4.0,0,22,5,0,5,0,1,1,5,5,0,0,0,0,0.0,4.5,22.7,0,0
2021,PL,埼玉西武ライオンズ,,松坂 大輔,,0.0,-100.0,,0,0,1,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0,0
2021,PL,埼玉西武ライオンズ,,松本 航,,3.79,10.3,1.34,10,8,28,149.2,0,638,137,15,64,0,4,130,63,63,0,0,1,1,0.556,20.4,10.0,4,0
2021,PL,埼玉西武ライオンズ,,水上 由伸,,2.33,5.3,1.3,0,1,29,27.0,0,114,19,1,16,0,1,22,7,7,4,4,0,0,0.0,19.3,14.0,0,0
2021,PL,埼玉西武ライオンズ,,宮川 哲,,6.57,10.3,1.66,1,2,29,24.2,0,117,23,4,18,0,3,30,18,18,6,7,0,0,0.333,25.6,15.4,5,0
2021,PL,埼玉西武ライオンズ,,森脇 亮介,,4.02,3.8,1.59,3,1,45,40.1,1,184,42,3,22,1,2,29,18,18,13,16,0,0,0.75,15.8,12.0,3,0
2021,PL,埼玉西武ライオンズ,,與座 海人,,2.79,11.5,1.06,1,1,15,38.2,0,157,31,3,10,0,4,28,12,12,1,1,0,0,0.5,17.8,6.4,0,0
2021,PL,埼玉西武ライオンズ,,吉川 光夫,,16.62,-23.1,3.23,0,0,5,4.1,0,26,8,1,6,0,0,0,8,8,0,0,0,0,0.0,0.0,23.1,0,0
2021,PL,埼玉西武ライオンズ,,渡邉 勇太朗,,3.44,1.3,1.33,4,4,17,55.0,0,232,43,3,30,0,3,33,21,24,2,2,0,0,0.5,14.2,12.9,4,0
2021,PL,北海道日本ハムファイターズ,,アーリン,,3.32,13.7,1.34,2,3,11,38.0,0,161,40,3,11,0,2,33,14,15,0,0,0,0,0.4,20.5,6.8,0,0
2021,PL,北海道日本ハムファイターズ,,秋吉 亮,,2.7,9.5,1.1,0,0,10,10.0,0,42,7,0,4,1,0,8,3,3,0,0,0,0,0.0,19.0,9.5,0,0
2021,PL,北海道日本ハムファイターズ,,井口 和朋,,1.86,15.2,0.88,1,2,43,38.2,0,151,24,4,10,0,2,33,8,11,11,12,0,0,0.333,21.9,6.6,0,0
2021,PL,北海道日本ハムファイターズ,,池田 隆英,,3.94,4.7,1.49,3,10,18,82.1,0,364,88,11,35,0,5,52,36,42,1,1,0,0,0.231,14.3,9.6,4,0
2021,PL,北海道日本ハムファイターズ,,伊藤 大海,,2.9,14.4,1.22,10,9,23,146.0,0,610,125,8,53,1,6,141,47,51,0,0,1,1,0.526,23.1,8.7,1,0
2021,PL,北海道日本ハムファイターズ,,上原 健太,,3.97,10.6,1.24,0,0,11,11.1,0,47,8,0,6,1,0,11,5,5,0,0,0,0,0.0,23.4,12.8,0,0
2021,PL,北海道日本ハムファイターズ,,上沢 直之,,2.81,13.5,1.04,12,6,24,160.1,0,643,119,8,48,1,4,135,50,53,0,0,1,0,0.667,21.0,7.5,5,2
2021,PL,北海道日本ハムファイターズ,,加藤 貴之,,3.42,13.6,1.05,6,7,25,150.0,0,595,136,13,21,1,3,102,57,61,0,0,1,1,0.462,17.1,3.5,2,0
2021,PL,北海道日本ハムファイターズ,,金子 弌大,,6.21,6.0,1.65,0,4,8,33.1,0,149,42,4,13,1,3,22,23,23,0,0,0,0,0.0,14.8,8.7,3,0
2021,PL,北海道日本ハムファイターズ,,河野 竜生,,2.99,9.8,1.16,3,6,40,90.1,0,376,74,7,31,2,4,68,30,35,9,11,0,0,0.333,18.1,8.2,4,0
2021,PL,北海道日本ハムファイターズ,,北浦 竜次,,3.38,8.7,1.31,0,0,3,5.1,0,23,5,1,2,0,0,4,2,2,0,0,0,0,0.0,17.4,8.7,0,0
2021,PL,北海道日本ハムファイターズ,,公文 克彦,,3.68,11.8,1.91,0,0,10,7.1,0,34,12,1,2,0,1,6,3,3,0,0,0,0,0.0,17.6,5.9,0,1
2021,PL,北海道日本ハムファイターズ,,斎藤 佑樹,,0.0,-100.0,,0,0,1,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0,0
2021,PL,北海道日本ハムファイターズ,,杉浦 稔大,,2.96,20.4,1.06,3,3,56,54.2,28,221,34,9,24,3,1,69,18,18,1,4,0,0,0.5,31.2,10.9,4,0
2021,PL,北海道日本ハムファイターズ,,鈴木 健矢,,4.19,4.8,1.24,0,0,21,19.1,0,84,17,1,7,2,3,11,9,10,0,0,0,0,0.0,13.1,8.3,0,0
2021,PL,北海道日本ハムファイターズ,,立野 和明,,2.45,10.7,1.13,4,3,11,55.0,0,224,39,3,23,0,3,47,15,16,0,0,0,0,0.571,21.0,10.3,1,0
2021,PL,北海道日本ハムファイターズ,,谷川 昌希,,5.23,9.3,1.26,1,0,9,10.1,0,43,9,1,4,0,0,8,6,7,0,1,0,0,1.0,18.6,9.3,1,0
2021,PL,北海道日本ハムファイターズ,,玉井 大翔,,3.16,2.2,1.41,0,0,50,42.2,0,185,41,2,19,2,4,23,15,18,8,8,0,0,0.0,12.4,10.3,1,0
2021,PL,北海道日本ハムファイターズ,,生田目 翼,,1.5,9.1,0.67,1,0,1,6.0,0,22,1,0,3,0,1,5,1,1,0,0,0,0,1.0,22.7,13.6,0,0
2021,PL,北海道日本ハムファイターズ,,西村 天裕,,3.48,14.4,1.45,0,0,27,31.0,0,139,33,2,12,2,3,32,12,16,1,1,0,0,0.0,23.0,8.6,0,1
2021,PL,北海道日本ハムファイターズ,,バーヘイゲン,,3.84,16.5,1.28,5,8,20,96.0,0,407,90,7,33,1,6,100,41,45,0,1,0,0,0.385,24.6,8.1,1,0
2021,PL,北海道日本ハムファイターズ,,長谷川 凌汰,,7.36,-12.5,1.36,0,0,5,3.2,0,16,2,0,3,0,0,1,3,3,2,2,0,0,0.0,6.2,18.8,0,0
2021,PL,北海道日本ハムファイターズ,,福田 俊,,11.57,8.0,2.14,0,0,5,4.2,0,25,9,1,1,0,0,3,6,8,0,0,0,0,0.0,12.0,4.0,1,0
2021,PL,北海道日本ハムファイターズ,,堀 瑞輝,,2.36,11.4,1.24,3,2,60,53.1,0,229,36,3,30,1,4,56,14,14,39,42,0,0,0.6,24.5,13.1,3,0
2021,PL,北海道日本ハムファイターズ,,宮西 尚生,,3.65,18.0,1.29,1,2,50,44.1,0,189,42,3,15,1,4,49,18,20,15,16,0,0,0.333,25.9,7.9,3,0
2021,PL,北海道日本ハムファイターズ,,村田 透,,9.31,-7.5,2.79,0,0,8,9.2,0,53,18,1,9,0,0,5,10,10,0,0,0,0,0.0,9.4,17.0,1,0
2021,PL,北海道日本ハムファイターズ,,望月 大希,,2.25,-12.5,1.25,0,0,2,4.0,0,16,2,0,3,0,0,1,1,1,0,0,0,0,0.0,6.2,18.8,0,0
2021,PL,北海道日本ハムファイターズ,,吉田 輝星,,9.0,-7.1,3.5,0,1,1,2.0,0,14,4,1,3,0,0,2,2,7,0,0,0,0,0.0,14.3,21.4,0,0
2021,PL,北海道日本ハムファイターズ,,Ｂ．ロドリゲス,,2.74,7.2,1.3,0,2,47,46.0,3,194,40,4,20,2,3,34,14,17,24,24,0,0,0.0,17.5,10.3,0,0
2021,PL,東北楽天ゴールデンイーグルス,,安樂 智大,,2.08,7.1,1.38,3,3,58,56.1,2,240,45,4,33,0,2,50,13,13,22,25,0,0,0.5,20.8,13.8,1,0
2021,PL,東北楽天ゴールデンイーグルス,,石橋 良太,,3.46,-3.6,1.38,0,1,3,13.0,0,56,12,2,6,0,1,4,5,5,0,0,0,0,0.0,7.1,10.7,2,0
2021,PL,東北楽天ゴールデンイーグルス,,内間 拓馬,,5.91,26.7,1.22,0,0,11,10.2,0,45,9,0,4,0,1,16,7,7,0,0,0,0,0.0,35.6,8.9,0,0
2021,PL,東北楽天ゴールデンイーグルス,,釜田 佳直,,11.25,5.3,2.25,0,0,1,4.0,0,19,8,1,1,0,0,2,5,5,0,0,0,0,0.0,10.5,5.3,0,0
2021,PL,東北楽天ゴールデンイーグルス,,岸 孝之,,3.44,15.6,1.23,9,10,25,149.0,0,620,149,17,34,0,1,131,57,62,0,0,1,1,0.474,21.1,5.5,1,0
2021,PL,東北楽天ゴールデンイーグルス,,酒居 知史,,2.28,9.7,1.11,4,3,54,51.1,3,206,33,3,24,1,0,44,13,15,28,32,0,0,0.571,21.4,11.7,1,0
2021,PL,東北楽天ゴールデンイーグルス,,塩見 貴洋,,3.6,14.3,1.2,0,0,1,5.0,0,21,5,0,1,0,0,4,2,2,0,0,0,0,0.0,19.0,4.8,0,0
2021,PL,東北楽天ゴールデンイーグルス,,菅原 秀,,16.88,-31.2,2.62,0,0,1,2.2,0,16,2,0,5,0,1,0,5,5,0,0,0,0,0.0,0.0,31.2,1,0
2021,PL,東北楽天ゴールデンイーグルス,,鈴木 翔天,,0.0,5.3,1.62,0,0,5,4.1,0,19,3,0,4,0,0,5,0,0,0,0,0,0,0.0,26.3,21.1,1,0
2021,PL,東北楽天ゴールデンイーグルス,,宋 家豪,,2.23,10.6,1.14,3,3,63,60.2,7,246,46,2,23,2,2,49,15,18,24,27,0,0,0.5,19.9,9.3,1,0
2021,PL,東北楽天ゴールデンイーグルス,,高田 孝一,,1.35,17.9,1.05,0,0,3,6.2,0,28,6,1,1,0,1,6,1,2,0,0,0,0,0.0,21.4,3.6,0,0
2021,PL,東北楽天ゴールデンイーグルス,,髙田 萌生,,9.39,7.7,2.35,0,1,4,7.2,0,39,13,1,5,0,0,8,8,9,0,0,0,0,0.0,20.5,12.8,1,0
2021,PL,東北楽天ゴールデンイーグルス,,瀧中 瞭太,,3.21,11.2,1.2,10,5,20,103.2,0,427,97,10,27,0,4,75,37,40,0,0,0,0,0.667,17.6,6.3,0,0
2021,PL,東北楽天ゴールデンイーグルス,,田中 将大,,3.01,15.5,1.03,4,9,23,155.2,0,624,131,17,29,0,5,126,52,54,0,0,1,0,0.308,20.2,4.6,6,1
2021,PL,東北楽天ゴールデンイーグルス,,津留﨑 大成,,5.06,4.3,1.5,0,0,11,10.2,0,47,11,0,5,1,0,7,6,6,1,1,0,0,0.0,14.9,10.6,0,0
2021,PL,東北楽天ゴールデンイーグルス,,西口 直人,,3.28,13.4,1.2,5,2,33,57.2,0,239,46,7,23,2,2,55,21,23,3,8,0,0,0.714,23.0,9.6,1,0
2021,PL,東北楽天ゴールデンイーグルス,,則本 昂大,,3.17,20.0,1.09,11,5,23,144.2,0,584,123,18,35,0,3,152,51,56,0,0,2,1,0.688,26.0,6.0,3,0
2021,PL,東北楽天ゴールデンイーグルス,,早川 隆久,,3.86,17.2,1.18,9,7,24,137.2,0,565,132,11,30,1,2,127,59,59,0,0,1,1,0.562,22.5,5.3,2,1
2021,PL,東北楽天ゴールデンイーグルス,,ブセニッツ,,4.97,11.3,1.41,1,0,31,29.0,0,124,32,1,9,0,0,23,16,16,4,5,0,0,1.0,18.5,7.3,2,0
2021,PL,東北楽天ゴールデンイーグルス,,福井 優也,,4.43,18.3,1.13,0,0,19,20.1,0,82,17,3,6,0,0,21,10,10,0,0,0,0,0.0,25.6,7.3,1,0
2021,PL,東北楽天ゴールデンイーグルス,,福山 博之,,2.38,1.0,1.54,0,2,24,22.2,0,101,23,3,12,0,0,13,6,6,4,4,0,0,0.0,12.9,11.9,0,0
2021,PL,東北楽天ゴールデンイーグルス,,牧田 和久,,3.31,2.8,1.22,0,0,17,16.1,0,72,17,2,3,0,1,5,6,10,2,2,0,0,0.0,6.9,4.2,0,0
2021,PL,東北楽天ゴールデンイーグルス,,松井 裕樹,,0.63,22.1,1.0,0,2,43,43.0,24,172,22,1,21,1,1,59,3,3,0,0,0,0,0.0,34.3,12.2,1,0
2021,PL,東北楽天ゴールデンイーグルス,,森原 康平,,2.78,16.7,1.14,0,0,34,32.1,0,132,29,3,8,2,0,30,10,10,3,3,0,0,0.0,22.7,6.1,0,1
2021,PL,東北楽天ゴールデンイーグルス,,弓削 隼人,,7.24,0.0,1.9,1,1,5,13.2,0,65,20,0,6,0,1,6,11,11,0,0,0,0,0.5,9.2,9.2,0,0
2021,PL,東北楽天ゴールデンイーグルス,,涌井 秀章,,5.04,11.9,1.41,6,8,21,96.1,0,420,110,7,26,0,2,76,54,57,0,0,0,0,0.429,18.1,6.2,4,0
2021,PL,東北楽天ゴールデンイーグルス,,渡邊 佑樹,,5.4,8.7,1.4,0,0,9,5.0,0,23,5,1,2,0,2,4,3,3,2,2,0,0,0.0,17.4,8.7,0,0
2021,PL,千葉ロッテマリーンズ,,東妻 勇輔,,2.88,13.4,1.37,1,0,37,34.1,0,149,38,4,9,0,2,29,11,16,4,5,0,0,1.0,19.5,6.0,2,1
2021,PL,千葉ロッテマリーンズ,,石川 歩,,3.38,10.6,1.02,6,3,12,80.0,0,310,73,10,9,0,0,42,30,30,0,0,2,0,0.667,13.5,2.9,0,0
2021,PL,千葉ロッテマリーンズ,,岩下 大輝,,4.42,8.0,1.3,8,8,23,120.0,0,514,110,14,46,1,2,87,59,59,1,1,0,0,0.5,16.9,8.9,7,0
2021,PL,千葉ロッテマリーンズ,,大嶺 祐太,,4.09,9.8,1.55,1,1,8,11.0,0,51,15,1,2,0,0,7,5,6,0,1,0,0,0.5,13.7,3.9,2,0
2021,PL,千葉ロッテマリーンズ,,小島 和哉,,3.76,6.8,1.19,10,4,24,146.0,0,606,123,16,51,1,6,92,61,65,0,0,3,2,0.714,15.2,8.4,2,0
2021,PL,千葉ロッテマリーンズ,,小野 郁,,3.48,13.6,1.22,0,3,49,51.2,0,220,37,4,26,1,2,56,20,25,8,8,0,0,0.0,25.5,11.8,5,0
