year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1964,PL,埼玉西武ライオンズ,1003807,高倉　照幸,T.Takakura,116.0,479.0,436.0,76.0,138.0,21.0,2.0,16.0,211.0,61.0,2,0,2.0,1.0,37.0,0,3.0,45.0,8.0,0.317,0.373,0.484,0.857,99.0,0.16699999999999998,0.055999999999999994,0.54,7.724425887265135,9.394572025052192,0.8222222222222222,0.324468085106383,0.28885,534.3333333333334,0.26146788990825687,0.8333333333333334,0.317,138.0,16.0,61.0,116.0,479.0,436.0,99.0,21.0,2.0,76.0,0.373,0.484,37.0,0,3.0,,211.0,2,0,2.0,1.0,,78.06553911205074,74.45600000000002
1964,PL,福岡ソフトバンクホークス,1003808,中島　博征,H.Nakajima,98.0,47.0,45.0,13.0,8.0,1.0,0.0,1.0,12.0,5.0,1.0,0,0.0,0.0,2.0,0,0.0,11.0,1.0,0.178,0.213,0.267,0.48,6.0,0.08900000000000002,0.035,0.302,4.25531914893617,23.404255319148938,0.18181818181818182,0.21212121212121213,0.16260000000000002,302.0,0.15555555555555556,0.39473684210526316,0.178,8.0,1.0,5.0,98.0,47.0,45.0,6.0,1.0,0.0,13.0,0.213,0.267,2.0,0,0.0,,12.0,1.0,0,0.0,0.0,,2.5531914893617023,2.3739999999999997
1964,PL,近鉄バファローズ,1003821,板東　里視,S.Bandou,34.0,10.0,9.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,3.0,0.0,0.222,0.222,0.222,0.444,2.0,0.0,0.0,0.222,0.0,30.0,0.0,0.3333333333333333,0.1554,296.0,0.0,0.2857142857142857,0.222,2.0,0.0,0.0,34.0,10.0,9.0,2.0,0.0,0.0,0.0,0.222,0.222,0.0,0,0.0,,2.0,0.0,0,1.0,0.0,,0.4444444444444444,0.31399999999999995
1964,PL,近鉄バファローズ,1003823,R.ディサ,D.Desa,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,0.0,0.0,nan,nan,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0
1964,PL,埼玉西武ライオンズ,1003825,鈴木　五朗,G.Suzuki,24.0,41.0,41.0,3.0,12.0,2.0,1.0,1.0,19.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,8.0,0.0,0.293,0.293,0.463,0.756,8.0,0.17000000000000004,0.0,0.463,0.0,19.51219512195122,0.0,0.34375,0.2476,447.33333333333337,0.17073170731707318,0.6551724137931034,0.293,12.0,1.0,2.0,24.0,41.0,41.0,8.0,2.0,1.0,3.0,0.293,0.463,0.0,0,0.0,,19.0,0.0,0,0.0,0.0,,5.560975609756097,5.077999999999999
1964,PL,北海道日本ハムファイターズ,1003829,永易　将之,M.Nagayasu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,0.0,0.0,nan,nan,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0
1964,PL,オリックス・バファローズ,11013827,早瀬　方禧,M.Hayase,122.0,346.0,319.0,29.0,84.0,18.0,1.0,10.0,134.0,44.0,1,2,1.0,2.0,23.0,0,1.0,40.0,3.0,0.263,0.313,0.42,0.733,55.0,0.15699999999999997,0.04999999999999999,0.47,6.6473988439306355,11.560693641618498,0.575,0.2730627306273063,0.24585,452.99999999999994,0.23510971786833856,0.6722689075630253,0.263,84.0,10.0,44.0,122.0,346.0,319.0,55.0,18.0,1.0,29.0,0.313,0.42,23.0,0,1.0,,134.0,1,2,1.0,2.0,,41.92397660818713,41.150000000000006
1964,PL,近鉄バファローズ,1103804,伊香　輝男,T.Ikou,84.0,101.0,82.0,3.0,19.0,1.0,0.0,0.0,20.0,5.0,0.0,0,0.0,2.0,10.0,0,7.0,11.0,1.0,0.232,0.356,0.244,0.6,18.0,0.011999999999999983,0.12399999999999997,0.368,9.900990099009901,10.891089108910892,0.9090909090909091,0.2602739726027397,0.2212,437.3333333333333,0.13414634146341464,0.578125,0.232,19.0,0.0,5.0,84.0,101.0,82.0,18.0,1.0,0.0,3.0,0.356,0.244,10.0,0,7.0,,20.0,0.0,0,0.0,2.0,,6.304347826086956,9.156000000000002
1964,PL,埼玉西武ライオンズ,1103821,井上　善夫,Y.Inoue,60.0,76.0,70.0,2.0,8.0,2.0,1.0,0.0,12.0,6.0,0.0,0,4.0,1.0,1.0,0,0.0,25.0,0.0,0.114,0.125,0.171,0.29600000000000004,5.0,0.05700000000000001,0.010999999999999996,0.182,1.3157894736842104,32.89473684210527,0.04,0.17391304347826086,0.099,182.0,0.07142857142857142,0.20967741935483872,0.114,8.0,0.0,6.0,60.0,76.0,70.0,5.0,2.0,1.0,2.0,0.125,0.171,1.0,0,0.0,,12.0,0.0,0,4.0,1.0,,1.5211267605633803,-0.766
1964,PL,埼玉西武ライオンズ,1103827,G.ウイルソン,G.Wilson,98.0,294.0,255.0,28.0,67.0,11.0,0.0,7.0,99.0,40.0,1.0,0,1.0,1.0,37.0,0,0.0,33.0,4.0,0.263,0.355,0.388,0.743,49.0,0.125,0.09199999999999997,0.48,12.585034013605442,11.224489795918368,1.121212121212121,0.2777777777777778,0.25675000000000003,484.33333333333326,0.27450980392156865,0.7135416666666666,0.263,67.0,7.0,40.0,98.0,294.0,255.0,49.0,11.0,0.0,28.0,0.355,0.388,37.0,0,0.0,,99.0,1.0,0,1.0,1.0,,35.26027397260274,36.466
