year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1979,CL,読売ジャイアンツ,71173824,浅野　啓司,K.Asano,6.02,2.6,1.76,2,3,21,49.1,0,229,60,8,27,,1,33,33,34,,,0,0,0.4,14.4,11.8,2,0
1979,CL,読売ジャイアンツ,31133848,赤嶺　賢勇,K.Akamine,4.5,-36.4,3.0,0,0,1,2.0,0,11,2,0,4,,0,0,1,1,,,0,0,0.0,0.0,36.4,0,0
1979,CL,読売ジャイアンツ,41143806,石井　茂雄,S.Ishii,3.69,6.5,1.28,2,2,15,39.0,0,169,40,7,10,,2,21,16,20,,,0,0,0.5,12.4,5.9,0,0
1979,CL,読売ジャイアンツ,91193848,江川　卓,S.Egawa,2.8,13.5,1.13,9,10,27,161.0,0,653,132,22,50,,0,138,50,57,,,7,2,0.474,21.1,7.7,0,1
1979,CL,読売ジャイアンツ,01303849,小俣　進,,5.59,-1.6,1.62,0,0,21,29.0,1,129,29,4,18,,1,16,18,19,,,0,0,0.0,12.4,14.0,1,0
1979,CL,読売ジャイアンツ,31333845,加藤　初,H.Katou,3.99,6.9,1.27,7,10,36,142.0,2,596,124,23,57,,1,98,63,68,,,1,0,0.412,16.4,9.6,1,0
1979,CL,読売ジャイアンツ,71373848,鹿取　義隆,Y.Katori,3.36,1.6,1.19,3,2,38,59.0,2,244,45,5,25,,5,29,22,24,,,0,0,0.6,11.9,10.2,0,1
1979,CL,読売ジャイアンツ,41343848,Ｒ．クルーガー,R.Kreuger,4.66,3.3,1.31,2,1,18,29.0,0,122,26,4,12,,2,16,15,17,,,0,0,0.667,13.1,9.8,1,1
1979,CL,読売ジャイアンツ,61363844,定岡　正二,S.Sadaoka,5.79,6.1,1.93,0,0,7,14.0,0,66,20,3,7,,1,11,9,12,,,0,0,0.0,16.7,10.6,0,0
1979,CL,読売ジャイアンツ,91593846,角　三男,M.Sumi,3.99,7.6,1.39,2,5,45,65.1,6,288,52,3,39,,2,61,29,39,,,0,0,0.286,21.2,13.5,3,0
1979,CL,読売ジャイアンツ,91093843,新浦　寿夫,H.Niura,3.43,16.1,1.18,15,11,45,236.1,5,961,211,24,68,,6,223,90,94,,,12,3,0.577,23.2,7.1,1,0
1979,CL,読売ジャイアンツ,91793842,西本　聖,T.Nishimoto,2.76,7.4,1.18,8,4,44,153.0,6,631,143,13,38,,6,85,47,54,,,5,1,0.667,13.5,6.0,4,0
1979,CL,読売ジャイアンツ,01903844,藤城　和明,,3.99,7.9,1.32,4,7,27,76.2,0,328,68,13,33,,3,59,34,42,,,1,1,0.364,18.0,10.1,1,0
1979,CL,読売ジャイアンツ,91093822,堀内　恒夫,T.Horiuchi,6.67,6.0,1.69,4,7,24,86.1,0,400,111,16,35,,2,59,64,68,,,1,0,0.364,14.8,8.8,1,0
1979,CL,中日ドラゴンズ,51153842,青山　久人,H.Aoyama,6.28,9.1,1.74,0,1,8,14.1,0,66,20,4,5,,1,11,10,11,,,0,0,0.0,16.7,7.6,2,0
1979,CL,中日ドラゴンズ,31533846,小松　辰雄,T.Komatsu,2.68,12.0,1.3,6,9,54,97.1,16,410,90,6,37,,5,86,29,30,,,0,0,0.4,21.0,9.0,1,0
1979,CL,中日ドラゴンズ,71773843,佐藤　政夫,M.Satou,49.5,-5.3,7.0,0,0,5,2.0,0,19,12,0,2,,0,1,11,11,,,0,0,0.0,5.3,10.5,0,0
1979,CL,中日ドラゴンズ,41543847,鈴木　孝政,T.Suzuki,3.02,10.4,1.21,1,0,24,44.2,9,182,40,7,14,,1,33,15,18,,,0,0,1.0,18.1,7.7,2,0
1979,CL,中日ドラゴンズ,81583848,高橋　三千丈,M.Takahashi,4.15,5.4,1.28,5,4,43,102.0,2,425,94,15,37,,0,60,47,52,,,0,0,0.556,14.1,8.7,3,0
1979,CL,中日ドラゴンズ,41343840,土屋　正勝,M.Tsuchiya,4.76,-0.2,1.55,2,6,31,104.0,1,459,117,21,44,,2,43,55,62,,,1,0,0.25,9.4,9.6,3,0
1979,CL,中日ドラゴンズ,51053829,戸田　善紀,Y.Toda,3.23,4.7,1.19,2,3,16,53.0,0,213,49,6,14,,0,24,19,21,,,1,0,0.4,11.3,6.6,0,0
1979,CL,中日ドラゴンズ,91993845,堂上　照,T.Donoue,8.14,0.0,1.9,0,4,14,21.0,0,100,32,5,8,,0,8,19,19,,,0,0,0.0,8.0,8.0,0,0
1979,CL,中日ドラゴンズ,71773848,中田　宗男,M.Nakata,0.0,28.6,0.5,0,0,1,2.0,0,7,1,0,0,,0,2,0,0,,,0,0,0.0,28.6,0.0,0,0
1979,CL,中日ドラゴンズ,61763848,藤沢　公也,K.Fujisawa,2.82,7.8,1.22,13,5,33,185.1,0,766,158,15,69,,4,129,58,64,,,3,2,0.722,16.8,9.0,2,1
1979,CL,中日ドラゴンズ,51053828,星野　仙一,S.Hoshino,4.67,5.1,1.42,10,7,28,154.1,0,665,168,29,51,,7,85,80,90,,,4,1,0.588,12.8,7.7,1,0
1979,CL,中日ドラゴンズ,31433841,松本　幸行,Y.Matsumoto,4.88,-0.8,1.5,2,3,22,55.1,0,245,70,8,13,,1,11,30,32,,,0,0,0.4,4.5,5.3,1,0
1979,CL,中日ドラゴンズ,71273845,三沢　淳,J.Misawa,3.72,5.1,1.37,13,11,45,203.0,0,864,226,28,53,,9,97,84,95,,,7,4,0.542,11.2,6.1,2,0
1979,CL,中日ドラゴンズ,01903848,水谷　啓昭,,5.23,7.5,1.5,3,2,47,65.1,0,293,65,16,33,,4,55,38,42,,,0,0,0.6,18.8,11.3,0,0
1979,CL,中日ドラゴンズ,21923848,都　裕次郎,Y.Miyako,2.5,9.5,1.11,2,2,25,50.1,3,201,38,3,18,,0,37,14,19,,,0,0,0.5,18.4,9.0,0,0
1979,CL,阪神タイガース,51153829,安仁屋　宗八,S.Aniya,5.0,-1.2,1.56,0,2,12,18.0,0,82,20,3,8,,1,7,10,12,,,0,0,0.0,8.5,9.8,0,0
1979,CL,阪神タイガース,41143843,池内　豊,Y.Ikeuchi,3.67,8.3,1.13,5,5,54,130.0,13,531,110,17,37,,5,81,53,54,,,0,0,0.5,15.3,7.0,1,0
1979,CL,阪神タイガース,71173846,伊藤　宏光,F.Itou,4.89,4.5,1.61,1,3,23,53.1,1,247,68,4,18,,2,29,29,35,,,0,0,0.25,11.7,7.3,3,0
1979,CL,阪神タイガース,81183841,上田　二朗,J.Ueda,4.12,0.0,1.53,0,0,15,19.2,0,88,22,3,8,,3,8,9,13,,,0,0,0.0,9.1,9.1,0,0
1979,CL,阪神タイガース,01303843,江本　孟紀,,4.38,9.4,1.39,12,12,47,178.2,6,784,181,21,67,,16,141,87,93,,,5,3,0.5,18.0,8.5,5,2
1979,CL,阪神タイガース,41343846,工藤　一彦,K.Kudou,4.08,9.7,1.21,7,8,31,119.0,0,493,109,17,35,,2,83,54,63,,,2,0,0.467,16.8,7.1,2,0
1979,CL,阪神タイガース,71573847,小林　繁,S.Kobayashi,2.89,11.1,1.1,22,9,37,273.2,1,1129,227,23,75,,15,200,88,101,,,17,5,0.71,17.7,6.6,4,0
1979,CL,阪神タイガース,41943843,谷村　智啓,T.Tanimura,9.31,3.8,2.59,1,0,8,9.2,1,53,23,4,2,,0,4,10,12,,,0,0,1.0,7.5,3.8,0,0
1979,CL,阪神タイガース,31933845,竹田　和史,M.Takeda,15.19,-8.8,3.38,0,1,7,5.1,0,34,12,2,6,,1,3,9,11,,,0,0,0.0,8.8,17.6,1,0
