year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1985,CL,読売ジャイアンツ,91193848,江川　卓,S.Egawa,5.28,8.3,1.46,11,7,30,167.0,0,735,188,34,56,,3,117,98,102,,,3,1,0.611,15.9,7.6,1,0
1985,CL,読売ジャイアンツ,91393860,岡本　光,K.Okamoto,4.05,17.9,1.2,0,0,6,6.2,1,28,6,2,2,,0,7,3,3,,,0,0,0.0,25.0,7.1,1,0
1985,CL,読売ジャイアンツ,31333845,加藤　初,H.Katou,3.43,7.2,1.26,4,8,30,123.1,3,515,104,17,52,,4,89,47,53,,,0,0,0.333,17.3,10.1,1,0
1985,CL,読売ジャイアンツ,41343845,金城　基泰,M.Kaneshiro,4.87,2.2,1.52,0,0,17,20.1,0,91,17,4,14,,0,16,11,12,,,0,0,0.0,17.6,15.4,0,0
1985,CL,読売ジャイアンツ,71373848,鹿取　義隆,Y.Katori,3.52,12.9,1.23,4,5,60,84.1,4,350,74,11,30,,3,75,33,33,,,0,0,0.444,21.4,8.6,0,1
1985,CL,読売ジャイアンツ,01303860,Ｋ．カムストック,,4.19,2.0,1.57,8,8,21,124.2,0,552,120,21,76,,0,87,58,69,,,5,1,0.5,15.8,13.8,1,0
1985,CL,読売ジャイアンツ,61563860,香田　勲男,I.Kouda,0.0,25.0,1.0,0,0,1,1.0,0,4,1,0,0,,0,1,0,0,,,0,0,0.0,25.0,0.0,0,0
1985,CL,読売ジャイアンツ,61363844,定岡　正二,S.Sadaoka,3.87,5.2,1.22,4,3,47,74.1,2,307,66,7,25,,1,41,32,37,,,0,0,0.571,13.4,8.1,1,0
1985,CL,読売ジャイアンツ,81583869,斎藤　雅樹,M.Saitou,2.96,11.3,1.15,12,8,41,155.0,7,626,125,14,53,,3,124,51,59,,,5,4,0.6,19.8,8.5,0,2
1985,CL,読売ジャイアンツ,91593846,角　三男,M.Sumi,4.68,8.6,1.44,1,2,42,42.1,5,186,37,6,24,,2,40,22,22,,,0,0,0.333,21.5,12.9,0,1
1985,CL,読売ジャイアンツ,41943860,中島　浩人,H.Nakajima,3.38,15.2,1.0,0,0,6,8.0,0,33,6,1,2,,0,7,3,4,,,0,0,0.0,21.2,6.1,0,0
1985,CL,読売ジャイアンツ,91793842,西本　聖,T.Nishimoto,4.03,3.1,1.34,10,8,33,169.2,2,717,184,26,44,,1,66,76,91,,,8,2,0.556,9.2,6.1,0,1
1985,CL,読売ジャイアンツ,81083867,橋本　敬司,K.Hashimoto,5.06,3.4,1.59,1,2,17,32.0,0,146,29,3,22,,0,27,18,18,,,0,0,0.333,18.5,15.1,0,0
1985,CL,読売ジャイアンツ,31433867,槙原　寛己,H.Makihara,4.0,2.7,1.52,4,7,14,92.1,0,406,94,10,46,,1,57,41,43,,,5,1,0.364,14.0,11.3,3,1
1985,CL,読売ジャイアンツ,41443860,宮本　和知,K.Miyamoto,2.74,13.7,1.24,2,2,38,46.0,0,190,33,4,24,,0,50,14,16,,,0,0,0.5,26.3,12.6,2,0
1985,CL,中日ドラゴンズ,61163867,市村　則紀,N.Ichimura,5.14,8.5,2.0,0,0,17,14.0,0,71,24,2,4,,2,10,8,9,,,0,0,0.0,14.1,5.6,0,0
1985,CL,中日ドラゴンズ,01103861,牛島　和彦,,3.48,4.4,1.4,6,8,38,116.1,8,504,103,17,60,,4,82,45,47,,,6,1,0.429,16.3,11.9,0,0
1985,CL,中日ドラゴンズ,81383863,郭　源治,G.Kaku,3.48,10.5,1.22,11,11,34,230.1,3,954,224,38,57,,5,157,89,102,,,15,1,0.5,16.5,6.0,1,1
1985,CL,中日ドラゴンズ,01303869,鹿島　忠,,4.93,-0.6,1.79,2,3,41,76.2,2,358,96,8,41,,1,39,42,47,,,0,0,0.4,10.9,11.5,2,0
1985,CL,中日ドラゴンズ,21523867,桑田　茂,S.Kuwata,3.8,-4.0,1.56,2,2,18,45.0,0,200,44,2,26,,0,18,19,23,,,0,0,0.5,9.0,13.0,2,0
1985,CL,中日ドラゴンズ,31533846,小松　辰雄,T.Komatsu,2.65,14.4,1.11,17,8,33,210.1,1,864,185,24,48,,4,172,62,70,,,14,1,0.68,19.9,5.6,1,0
1985,CL,中日ドラゴンズ,71573865,後藤　祝秀,N.Gotou,4.15,-5.4,1.48,0,0,19,21.2,0,92,23,2,9,,1,4,10,14,,,0,0,0.0,4.3,9.8,2,0
1985,CL,中日ドラゴンズ,81583867,近藤　満,M.Kondou,4.0,-50.0,,0,0,1,,0,4,0,,3,,1,1,0,0,,,0,0,0.0,25.0,75.0,0,0
1985,CL,中日ドラゴンズ,41543847,鈴木　孝政,T.Suzuki,4.15,3.7,1.54,8,12,28,158.1,0,706,204,16,40,,1,66,73,83,,,5,0,0.4,9.3,5.7,0,0
1985,CL,中日ドラゴンズ,91793863,杉本　正,T.Sugimoto,4.29,6.6,1.39,5,4,23,98.2,0,426,105,14,32,,5,60,47,49,,,4,0,0.556,14.1,7.5,1,0
1985,CL,中日ドラゴンズ,21723863,曽田　康二,Y.Sota,4.58,2.2,1.42,5,8,39,106.0,0,459,107,16,44,,3,54,54,62,,,1,0,0.385,11.8,9.6,3,0
1985,CL,中日ドラゴンズ,91993845,堂上　照,T.Donoue,12.51,-7.4,2.85,0,2,9,13.2,0,81,25,2,14,,1,8,19,22,,,0,0,0.0,9.9,17.3,0,0
1985,CL,中日ドラゴンズ,61063869,平沼　定晴,S.Hiranuma,12.63,-4.3,2.52,0,1,20,20.2,0,115,34,4,18,,2,13,29,32,,,0,0,0.0,11.3,15.7,0,0
1985,CL,中日ドラゴンズ,21223860,古川　利行,T.Furukawa,4.4,4.5,1.6,0,0,16,14.1,0,66,14,2,9,,1,12,7,10,,,0,0,0.0,18.2,13.6,0,0
1985,CL,中日ドラゴンズ,21923848,都　裕次郎,Y.Miyako,3.2,2.8,1.34,0,2,7,25.1,0,108,22,3,12,,0,15,9,13,,,0,0,0.0,13.9,11.1,0,0
