year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1968,CL,読売ジャイアンツ,01103821,井上　善夫,,5.4,22.7,1.6,0,0,4,5.0,,22,8,1,0,,0,5,3,3,,,0,0,0.0,22.7,0.0,0,0
1968,CL,読売ジャイアンツ,71073801,金田　正一,M.Kaneda,3.45,2.7,1.4,11,10,32,138.1,,585,122,21,71,,0,87,53,57,,,4,0,0.524,14.9,12.1,3,0
1968,CL,読売ジャイアンツ,91593820,倉田　誠,M.Kurata,3.35,2.8,1.15,6,5,21,96.2,,389,68,10,43,,2,54,36,38,,,4,1,0.545,13.9,11.1,7,1
1968,CL,読売ジャイアンツ,31733821,嵯峨　健四郎,K.Saga,4.29,3.9,1.36,2,0,14,42.0,,180,38,7,19,,2,26,20,22,,,1,1,1.0,14.4,10.6,1,0
1968,CL,読売ジャイアンツ,51053825,城之内　邦雄,K.Jounouchi,3.06,6.6,1.15,11,7,30,162.0,,654,147,19,40,,6,83,55,63,,,9,4,0.611,12.7,6.1,0,0
1968,CL,読売ジャイアンツ,81583822,菅原　勝矢,K.Sugawara,4.25,4.2,1.43,4,1,22,72.0,,312,67,11,36,,2,49,34,36,,,1,1,0.8,15.7,11.5,3,1
1968,CL,読売ジャイアンツ,41943823,高橋　明,A.Takahashi,2.9,7.6,1.03,9,8,37,155.0,,616,131,17,28,,4,75,50,55,,,3,0,0.529,12.2,4.5,2,0
1968,CL,読売ジャイアンツ,61963829,種部　儀康,N.Tanebe,6.11,4.1,1.47,1,1,9,17.2,,74,20,4,6,,0,9,12,12,,,0,0,0.5,12.2,8.1,0,0
1968,CL,読売ジャイアンツ,01703820,高橋　一三,,2.49,9.6,1.2,7,3,48,126.1,,520,107,14,44,,2,94,35,48,,,4,0,0.7,18.1,8.5,0,0
1968,CL,読売ジャイアンツ,81983804,中村　稔,M.Nakamura,3.38,7.0,1.15,5,3,25,69.1,,287,68,8,12,,2,32,26,30,,,1,1,0.625,11.1,4.2,1,0
