npb_player_id,name_ja,name_en,name_en_full,name_en_short,team,team_code,position,uniform_no,throw_hand,bat_hand,is_new_2026
91695151,藤田 健斗,Fujita Kento,Fujita Kento,K.Fujita,阪神タイガース,H,捕手,,R,R,0
51455155,中川 勇斗,Nakagawa Hayato,Nakagawa Hayato,H.Nakagawa,阪神タイガース,H,捕手,,R,R,0
33335153,元山 飛優,Motoyama Hiyu,Motoyama Hiyu,H.Motoyama,阪神タイガース,H,内野手,,R,L,0
31735138,木浪 聖也,Kinami Seiya,Kinami Seiya,S.Kinami,阪神タイガース,H,内野手,,R,L,0
21325134,大山 悠輔,Ohyama Yusuke,Ohyama Yusuke,Y.Ohyama,阪神タイガース,H,内野手,,R,R,0
81585136,熊谷 敬宥,Kumagai Takahiro,Kumagai Takahiro,T.Kumagai,阪神タイガース,H,内野手,,R,R,0
41445153,中野 拓夢,Nakano Takumu,Nakano Takumu,T.Nakano,阪神タイガース,H,内野手,,R,L,0
91295152,立石 正広,Tateishi Masahiro,Tateishi Masahiro,M.Tateishi,阪神タイガース,H,内野手,,R,R,0
83585152,Ｃ．ディベイニー,Cam Devanney,Cam Devanney,C.Devanney,阪神タイガース,H,内野手,,R,R,0
01205152,谷端 将伍,Tanihata Shogo,Tanihata Shogo,S.Tanihata,阪神タイガース,H,内野手,,R,R,0
81185134,糸原 健斗,Itohara Kento,Itohara Kento,K.Itohara,阪神タイガース,H,内野手,,R,L,0
31535138,小幡 竜平,Obata Ryuhei,Obata Ryuhei,R.Obata,阪神タイガース,H,内野手,,R,L,0
91095150,佐野 大陽,Sano Taiyo,Sano Taiyo,T.Sano,阪神タイガース,H,内野手,,R,R,0
63365159,山田 脩也,Yamada Shuya,Yamada Shuya,S.Yamada,阪神タイガース,H,内野手,,R,R,0
23325159,百﨑 蒼生,Momosaki Aoi,Momosaki Aoi,A.Momosaki,阪神タイガース,H,内野手,,R,R,0
01305130,植田 海,Ueda Kai,Ueda Kai,K.Ueda,阪神タイガース,H,内野手,,R,B,0
41245153,髙寺 望夢,Takatera Nozomu,Takatera Nozomu,N.Takatera,阪神タイガース,H,内野手,,R,L,0
43145157,森下 翔太,Morishita Shota,Morishita Shota,S.Morishita,阪神タイガース,H,外野手,,R,R,0
71075138,近本 光司,Chikamoto Koji,Chikamoto Koji,K.Chikamoto,阪神タイガース,H,外野手,,L,L,0
91595152,岡城 快生,Okashiro Kaisei,Okashiro Kaisei,K.Okashiro,阪神タイガース,H,外野手,,R,R,0
41145157,井坪 陽生,Itsubo Hinase,Itsubo Hinase,H.Itsubo,阪神タイガース,H,外野手,,R,R,0
91995136,島田 海吏,Shimada Kairi,Shimada Kairi,K.Shimada,阪神タイガース,H,外野手,,R,L,0
21825155,前川 右京,Maegawa Ukyo,Maegawa Ukyo,U.Maegawa,阪神タイガース,H,外野手,,L,L,0
71775151,小野寺 暖,Onodera Dan,Onodera Dan,D.Onodera,阪神タイガース,H,外野手,,R,R,0
31435155,豊田 寛,Toyoda Hiroshi,Toyoda Hiroshi,H.Toyoda,阪神タイガース,H,外野手,,R,R,0
41045153,佐藤 輝明,Sato Teruaki,Sato Teruaki,T.Sato,阪神タイガース,H,内野手,,R,L,0
21825153,平内 龍太,Heinai Ryuta,Heinai Ryuta,R.Heinai,読売ジャイアンツ,G,投手,66,R,R,0
33135155,松浦 慶斗,Matsuura Keito,Matsuura Keito,K.Matsuura,読売ジャイアンツ,G,投手,,L,L,0
31735155,菊地 大稀,Kikuchi Taiki,Kikuchi Taiki,T.Kikuchi,北海道日本ハムファイターズ,F,投手,,R,L,0
11215114,田中 将大,Tanaka Masahiro,Tanaka Masahiro,M.Tanaka,読売ジャイアンツ,G,投手,,R,R,0
81085155,大勢,Ota Taisei,Ota Taisei,T.Ota,読売ジャイアンツ,G,投手,,R,R,0
31635159,西舘 勇陽,Nishidate Yuhi,Nishidate Yuhi,Y.Nishidate,読売ジャイアンツ,G,投手,,R,R,0
03305153,山﨑 伊織,Yamasaki Iori,Yamasaki Iori,I.Yamasaki,読売ジャイアンツ,G,投手,,R,L,0
41045138,戸郷 翔征,Togo Shosei,Togo Shosei,S.Togo,読売ジャイアンツ,G,投手,,R,R,0
71275152,竹丸 和幸,Takemaru Kazuyuki,Takemaru Kazuyuki,K.Takemaru,読売ジャイアンツ,G,投手,,L,L,0
53355152,Ｆ．ウィットリー,Forrest Whitley,Forrest Whitley,F.Whitley,読売ジャイアンツ,G,投手,,R,R,0
23725150,Ｓ．ハワード,Spencer Howard,Spencer Howard,S.Howard,読売ジャイアンツ,G,投手,,R,R,0
21225152,田和 廉,Tawa Ren,Tawa Ren,R.Tawa,読売ジャイアンツ,G,投手,,R,R,0
51155155,赤星 優志,Akahoshi Yuji,Akahoshi Yuji,Y.Akahoshi,読売ジャイアンツ,G,投手,,R,R,0
43145152,山城 京平,Yamashiro Kyohei,Yamashiro Kyohei,K.Yamashiro,読売ジャイアンツ,G,投手,,L,L,0
81285132,中川 皓太,Nakagawa Kota,Nakagawa Kota,K.Nakagawa,読売ジャイアンツ,G,投手,,L,L,0
53755152,Ｂ．マタ,Bryan Mata,Bryan Mata,B.Mata,読売ジャイアンツ,G,投手,,R,R,0
51055137,則本 昂大,Norimoto Takahiro,Norimoto Takahiro,T.Norimoto,読売ジャイアンツ,G,投手,,R,L,0
61065136,田中 瑛斗,Tanaka Eito,Tanaka Eito,E.Tanaka,読売ジャイアンツ,G,投手,,R,L,0
33135159,又木 鉄平,Mataki Teppei,Mataki Teppei,T.Mataki,読売ジャイアンツ,G,投手,,L,L,0
43345159,森田 駿哉,Morita Shunya,Morita Shunya,S.Morita,読売ジャイアンツ,G,投手,,L,L,0
91095157,田中 千晴,Tanaka Chiharu,Tanaka Chiharu,C.Tanaka,読売ジャイアンツ,G,投手,,R,R,0
23225157,Ａ．バルドナード,Alberto Baldonado,Alberto Baldonado,A.Baldonado,読売ジャイアンツ,G,投手,,L,L,0
91095134,高梨 雄平,Takanashi Yuhei,Takanashi Yuhei,Y.Takanashi,読売ジャイアンツ,G,投手,,L,L,0
01505136,北浦 竜次,Kitaura Ryuji,Kitaura Ryuji,R.Kitaura,読売ジャイアンツ,G,投手,,L,L,0
