game_id,inning,top_bottom,bat_order,pitcher_id,batter_id,pitch_no,pitch_type,speed_kmh,result,zone_top_px,zone_left_px,zone_row,zone_col,zone_id
2021040033,2,裏,3,1000100,1800081,6,ストレート,,空三振[ファウルチップ],79.0,119.0,2,4,15
2021040033,3,表,1,2050307,1750472,1,スイーパー,,ボール,154.0,15.0,4,2,23
2021040033,3,表,1,2050307,1750472,2,ストレート,,ボール,135.0,12.0,3,1,17
2021040033,3,表,1,2050307,1750472,3,フォーク,,見逃し,116.0,83.0,3,4,20
2021040033,3,表,1,2050307,1750472,4,ストレート,,二ゴロ[逆シングル],106.0,44.0,3,4,20
2021040033,3,表,2,2050307,2103618,1,スイーパー,,ボール,52.0,122.0,1,4,10
2021040033,3,表,2,2050307,2103618,2,フォーク,,見逃し,138.0,74.0,4,4,25
2021040033,3,表,2,2050307,2103618,3,スライダー,,見逃し,55.0,92.0,1,4,10
2021040033,3,表,2,2050307,2103618,4,ストレート,,死球[打者が腰を引いて避ける、転倒],51.0,-1.0,1,0,6
2021040033,3,表,3,2050307,1100061,1,ストレート,,見逃し,134.0,80.0,3,4,20
2021040033,3,表,3,2050307,1100061,2,スイーパー,,三ゴロ[併殺崩れ],86.0,84.0,2,4,15
2021040033,3,表,4,2050307,1600134,1,スライダー,,見逃し,47.0,28.0,1,3,9
2021040033,3,表,4,2050307,1600134,2,フォーク,,空振り,45.0,112.0,1,4,10
2021040033,3,表,4,2050307,1600134,3,ストレート,,ボール,19.0,123.0,0,4,5
2021040033,3,表,4,2050307,1600134,4,チェンジアップ,,右安,28.0,84.0,0,4,5
2021040033,3,表,5,2050307,1700122,1,チェンジアップ,,一ゴロ[引っかけ],86.0,90.0,2,4,15
2021040033,3,裏,1,1800091,1800081,1,スライダー,,ファウル[自打球],58.0,83.0,1,4,10
2021040033,3,裏,1,1800091,1800081,2,カーブ,,ボール[ワンバウンド],168.0,25.0,4,2,23
2021040033,3,裏,1,1800091,1800081,3,カーブ,,見逃し,131.0,42.0,3,4,20
2021040033,3,裏,1,1800091,1800081,4,ストレート,,右安,85.0,65.0,2,4,15
2021040033,3,裏,2,1800095,1800081,1,ストレート,,ファウル,53.0,32.0,1,3,9
2021040033,3,裏,2,1800095,1800081,2,カットボール,,一失,88.0,24.0,2,2,13
2021040033,3,裏,3,1851204,1800081,1,ストレート,,一併打,50.0,59.0,1,4,10
2021040033,3,裏,4,900069,1800081,1,ストレート,,ボール,13.0,109.0,0,4,5
2021040033,3,裏,4,900069,1800081,2,スプリット,,ボール[すっぽ抜け],21.0,132.0,0,4,5
2021040033,3,裏,4,900069,1800081,3,ストレート,,ボール,21.0,89.0,0,4,5
2021040033,3,裏,4,900069,1800081,4,ストレート,,見逃し,51.0,73.0,1,4,10
2021040033,3,裏,4,900069,1800081,5,ストレート,,四球,22.0,112.0,0,4,5
2021040033,3,裏,5,2000084,1800081,1,スプリット,,空振り,154.0,60.0,4,4,25
2021040033,3,裏,5,2000084,1800081,2,ストレート,,見逃し,125.0,22.0,3,2,18
2021040033,3,裏,5,2000084,1800081,3,ストレート,,ボール,132.0,15.0,3,2,18
2021040033,3,裏,5,2000084,1800081,4,カットボール,,空三振,78.0,13.0,2,1,12
2021040033,4,表,1,2050307,1950417,1,カーブ,,見逃し,132.0,27.0,3,3,19
2021040033,4,表,1,2050307,1950417,2,ストレート,,中２,47.0,30.0,1,3,9
2021040033,4,表,2,2050307,2000073,1,ストレート,,見逃し,111.0,40.0,3,4,20
2021040033,4,表,2,2050307,2000073,2,フォーク,,一ゴロ,155.0,24.0,4,2,23
2021040033,4,表,3,2050307,2117028,1,スイーパー,,ファウル,135.0,13.0,3,1,17
2021040033,4,表,3,2050307,2117028,2,ストレート,,ボール,19.0,36.0,0,3,4
2021040033,4,表,3,2050307,2117028,3,スイーパー,,ボール,116.0,10.0,3,1,17
2021040033,4,表,3,2050307,2117028,4,フォーク,,三飛[高々と舞い上がる],22.0,72.0,0,4,5
2021040033,4,表,4,2050307,2000069,1,ストレート,,ボール,18.0,95.0,0,4,5
2021040033,4,表,4,2050307,2000069,2,スライダー,,ボール,126.0,17.0,3,2,18
2021040033,4,表,4,2050307,2000069,3,フォーク,,空振り,168.0,56.0,4,4,25
2021040033,4,表,4,2050307,2000069,4,ストレート,,ボール,52.0,7.0,1,1,7
2021040033,4,表,4,2050307,2000069,5,フォーク,,四球,160.0,45.0,4,4,25
2021040033,4,表,5,2050307,1750472,1,ストレート,,ファウル,38.0,57.0,1,4,10
