player_id,year,split_type,split_value,g,pa,ab,r,h,h1,h2,h3,hr,bb,ibb,hbp,so,sh,sf,gidp,rbi,sb,cs,avg,obp,slg,ops,risp_avg,risp_ab,risp_h,sb_pct,isop,isod,babip,bb_pct,k_pct,bbk,gpa,rc,xr,seca,ta,noi
900069,2026,bat_order,bat_order_1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,,0,0,,0.000,0.500,,50.000,50.000,1.000,0.225,0.000,0.232,1.000,0.500,500.000
2000084,2026,total,total,1,4,4,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0.500,0.500,1.250,1.750,0.000,2,0,,0.750,0.000,1.000,0.000,50.000,0.000,0.537,2.500,1.744,0.750,1.250,916.667
2000084,2026,day_night,night,1,4,4,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0.500,0.500,1.250,1.750,0.000,2,0,,0.750,0.000,1.000,0.000,50.000,0.000,0.537,2.500,1.744,0.750,1.250,916.667
2000084,2026,home_away,home,1,4,4,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0.500,0.500,1.250,1.750,0.000,2,0,,0.750,0.000,1.000,0.000,50.000,0.000,0.537,2.500,1.744,0.750,1.250,916.667
2000084,2026,vs_team,vs_埼玉西武ライオンズ,1,4,4,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0.500,0.500,1.250,1.750,0.000,2,0,,0.750,0.000,1.000,0.000,50.000,0.000,0.537,2.500,1.744,0.750,1.250,916.667
2000084,2026,bat_order,bat_order_2,1,4,4,1,2,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0.500,0.500,1.250,1.750,0.000,2,0,,0.750,0.000,1.000,0.000,50.000,0.000,0.537,2.500,1.744,0.750,1.250,916.667
1850932,2026,total,total,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-0.392,0.000,0.000,0.000
1850932,2026,day_night,night,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-0.392,0.000,0.000,0.000
1850932,2026,home_away,home,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-0.392,0.000,0.000,0.000
1850932,2026,vs_team,vs_埼玉西武ライオンズ,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-0.392,0.000,0.000,0.000
1850932,2026,bat_order,bat_order_3,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,-0.392,0.000,0.000,0.000
2000073,2026,total,total,1,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,0.000,1,0,,0.000,0.000,0.750,0.000,0.000,,0.525,2.250,1.402,0.000,0.750,1000.000
2000073,2026,day_night,night,1,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,0.000,1,0,,0.000,0.000,0.750,0.000,0.000,,0.525,2.250,1.402,0.000,0.750,1000.000
2000073,2026,home_away,visitor,1,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,0.000,1,0,,0.000,0.000,0.750,0.000,0.000,,0.525,2.250,1.402,0.000,0.750,1000.000
2000073,2026,vs_team,vs_北海道日本ハムファイターズ,1,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,0.000,1,0,,0.000,0.000,0.750,0.000,0.000,,0.525,2.250,1.402,0.000,0.750,1000.000
2000073,2026,bat_order,bat_order_5,1,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750,0.750,0.750,1.500,0.000,1,0,,0.000,0.000,0.750,0.000,0.000,,0.525,2.250,1.402,0.000,0.750,1000.000
2117028,2026,total,total,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,-0.196,0.000,0.000,0.000
2117028,2026,day_night,night,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,-0.196,0.000,0.000,0.000
2117028,2026,home_away,visitor,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,-0.196,0.000,0.000,0.000
2117028,2026,vs_team,vs_北海道日本ハムファイターズ,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,-0.196,0.000,0.000,0.000
2117028,2026,bat_order,bat_order_6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1,0,,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,-0.196,0.000,0.000,0.000
2000069,2026,total,total,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.000,1,0,,0.000,0.250,0.000,25.000,0.000,,0.113,0.000,0.036,0.333,0.250,250.000
2000069,2026,day_night,night,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.000,1,0,,0.000,0.250,0.000,25.000,0.000,,0.113,0.000,0.036,0.333,0.250,250.000
2000069,2026,home_away,visitor,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.000,1,0,,0.000,0.250,0.000,25.000,0.000,,0.113,0.000,0.036,0.333,0.250,250.000
2000069,2026,vs_team,vs_北海道日本ハムファイターズ,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.000,1,0,,0.000,0.250,0.000,25.000,0.000,,0.113,0.000,0.036,0.333,0.250,250.000
2000069,2026,bat_order,bat_order_7,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.000,0.250,0.000,0.250,0.000,1,0,,0.000,0.250,0.000,25.000,0.000,,0.113,0.000,0.036,0.333,0.250,250.000
2108090,2026,total,total,1,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.000,0.250,0.000,0.250,,0,0,,0.000,0.250,0.000,25.000,50.000,0.500,0.113,0.000,0.036,0.333,0.250,250.000
2108090,2026,day_night,night,1,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.000,0.250,0.000,0.250,,0,0,,0.000,0.250,0.000,25.000,50.000,0.500,0.113,0.000,0.036,0.333,0.250,250.000
2108090,2026,home_away,home,1,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.000,0.250,0.000,0.250,,0,0,,0.000,0.250,0.000,25.000,50.000,0.500,0.113,0.000,0.036,0.333,0.250,250.000
2108090,2026,vs_team,vs_埼玉西武ライオンズ,1,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.000,0.250,0.000,0.250,,0,0,,0.000,0.250,0.000,25.000,50.000,0.500,0.113,0.000,0.036,0.333,0.250,250.000
2108090,2026,bat_order,bat_order_4,1,4,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.000,0.250,0.000,0.250,,0,0,,0.000,0.250,0.000,25.000,50.000,0.500,0.113,0.000,0.036,0.333,0.250,250.000
1800093,2026,total,total,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,,0,0,,0.000,0.000,0.500,0.000,33.333,0.000,0.233,0.333,0.304,0.000,0.333,444.444
1800093,2026,day_night,night,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,,0,0,,0.000,0.000,0.500,0.000,33.333,0.000,0.233,0.333,0.304,0.000,0.333,444.444
1800093,2026,home_away,home,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,,0,0,,0.000,0.000,0.500,0.000,33.333,0.000,0.233,0.333,0.304,0.000,0.333,444.444
1800093,2026,vs_team,vs_埼玉西武ライオンズ,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,,0,0,,0.000,0.000,0.500,0.000,33.333,0.000,0.233,0.333,0.304,0.000,0.333,444.444
1800093,2026,bat_order,bat_order_5,1,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333,0.333,0.333,0.667,,0,0,,0.000,0.000,0.500,0.000,33.333,0.000,0.233,0.333,0.304,0.000,0.333,444.444
1000100,2026,total,total,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,,0,0,,0.000,0.000,,0.000,100.000,0.000,0.000,0.000,-0.294,0.000,0.000,0.000
1000100,2026,day_night,night,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,,0,0,,0.000,0.000,,0.000,100.000,0.000,0.000,0.000,-0.294,0.000,0.000,0.000
1000100,2026,home_away,home,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,,0,0,,0.000,0.000,,0.000,100.000,0.000,0.000,0.000,-0.294,0.000,0.000,0.000
1000100,2026,vs_team,vs_埼玉西武ライオンズ,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,,0,0,,0.000,0.000,,0.000,100.000,0.000,0.000,0.000,-0.294,0.000,0.000,0.000
1000100,2026,bat_order,bat_order_6,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,,0,0,,0.000,0.000,,0.000,100.000,0.000,0.000,0.000,-0.294,0.000,0.000,0.000
