year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA
1967,PL,オリックス・バファローズ,1003804,根来　広光,H.Negoro,55.0,125.0,112.0,10.0,20.0,1.0,1.0,3.0,32.0,9.0,0.0,0,6.0,0.0,6.0,0,1.0,19.0,2.0,0.179,0.227,0.286,0.513,15.0,0.1069999999999999,0.048,0.3339999999999999,0.048,0.152,0.3157894736842105,0.1888888888888888,0.17365,322.33333333333337,0.1696428571428571,0.4148936170212766
1967,PL,福岡ソフトバンクホークス,1003808,中島　博征,H.Nakajima,21.0,29.0,27.0,3.0,6.0,0.0,0.0,2.0,12.0,2.0,0.0,0,1.0,0.0,1.0,0,0.0,10.0,0.0,0.222,0.25,0.444,0.694,4.0,0.222,0.0279999999999999,0.472,0.0344827586206896,0.3448275862068966,0.1,0.2666666666666666,0.2235,398.0,0.2592592592592592,0.6190476190476191
1967,PL,近鉄バファローズ,1003821,板東　里視,S.Bandou,46.0,47.0,44.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,2.0,0.0,1.0,0,0.0,25.0,0.0,0.045,0.067,0.045,0.112,2.0,0.0,0.022,0.067,0.0212765957446808,0.5319148936170213,0.04,0.1052631578947368,0.0414,82.0,0.0227272727272727,0.0714285714285714
1967,PL,福岡ソフトバンクホークス,1003824,ブレイザー,D.Blasingame,128.0,527.0,478.0,61.0,128.0,18.0,6.0,5.0,173.0,28.0,9.0,0,6.0,3.0,38.0,0,2.0,38.0,4.0,0.268,0.322,0.362,0.684,99.0,0.0939999999999999,0.0539999999999999,0.416,0.0721062618595825,0.0721062618595825,1.0,0.2808219178082192,0.2354,442.6666666666666,0.1966527196652719,0.6271186440677966
1967,PL,埼玉西武ライオンズ,1003825,鈴木　五朗,G.Suzuki,77.0,120.0,113.0,8.0,19.0,2.0,1.0,4.0,35.0,11.0,0.0,0,1.0,0.0,6.0,0,0.0,29.0,5.0,0.168,0.21,0.31,0.52,12.0,0.142,0.0419999999999999,0.352,0.05,0.2416666666666666,0.2068965517241379,0.1875,0.172,313.33333333333337,0.1946902654867256,0.4141414141414141
1967,PL,北海道日本ハムファイターズ,1003829,永易　将之,M.Nagayasu,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
1967,PL,福岡ソフトバンクホークス,11013824,原田　秀行,H.Harada,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
1967,PL,オリックス・バファローズ,11013827,早瀬　方禧,M.Hayase,116.0,314.0,280.0,20.0,73.0,10.0,0.0,7.0,104.0,37.0,1,4,1.0,4.0,28.0,0,1.0,31.0,4.0,0.261,0.326,0.371,0.697,56.0,0.1099999999999999,0.065,0.436,0.0891719745222929,0.0987261146496815,0.9032258064516128,0.2682926829268293,0.23945,449.6666666666667,0.2285714285714285,0.6492890995260664
1967,PL,近鉄バファローズ,1103804,伊香　輝男,T.Ikou,53.0,53.0,50.0,0.0,11.0,1.0,0.0,0.0,12.0,10.0,0.0,0,0.0,2.0,0.0,0,1.0,8.0,2.0,0.22,0.226,0.24,0.466,10.0,0.0199999999999999,0.006,0.246,0.0,0.1509433962264151,0.0,0.25,0.1617,306.0,0.04,0.3170731707317073
1967,PL,埼玉西武ライオンズ,1103821,井上　善夫,Y.Inoue,35.0,22.0,22.0,0.0,5.0,1.0,0.0,0.0,6.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,10.0,0.0,0.227,0.227,0.273,0.5,4.0,0.046,0.0,0.273,0.0,0.4545454545454545,0.0,0.4166666666666667,0.1704,318.0,0.0454545454545454,0.3529411764705882
1967,PL,千葉ロッテマリーンズ,1103822,大塚　弥寿男,Y.Ootsuka,54.0,111.0,105.0,7.0,18.0,0.0,1.0,1.0,23.0,7.0,0.0,0,1.0,1.0,4.0,0,0.0,16.0,2.0,0.171,0.2,0.219,0.419,16.0,0.0479999999999999,0.0289999999999999,0.248,0.036036036036036,0.1441441441441441,0.25,0.1910112359550561,0.14475,273.0,0.0857142857142857,0.3033707865168539
1967,PL,埼玉西武ライオンズ,1103824,荒武　康博,Y.Aratake,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1967,PL,埼玉西武ライオンズ,11313802,伊藤　光四郎,K.Itou,130.0,438.0,374.0,40.0,99.0,19.0,1.0,7.0,141.0,36.0,4,1,2.0,3.0,52.0,0,7.0,49.0,11.0,0.265,0.362,0.377,0.739,72.0,0.1119999999999999,0.0969999999999999,0.474,0.1187214611872146,0.1118721461187214,1.0612244897959184,0.2866043613707165,0.25715,487.6666666666667,0.2727272727272727,0.7027972027972028
1967,PL,近鉄バファローズ,11313820,岩木　康郎,Y.Iwaki,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.35,666.6666666666666,0.0,1.0
1967,PL,千葉ロッテマリーンズ,11313822,木樽　正明,M.Kitaru,44.0,47.0,38.0,4.0,5.0,2.0,0.0,0.0,7.0,1.0,0.0,0,4.0,1.0,4.0,0,0.0,13.0,1.0,0.132,0.209,0.184,0.393,3.0,0.0519999999999999,0.0769999999999999,0.261,0.0851063829787234,0.2765957446808511,0.3076923076923077,0.1923076923076923,0.14005,270.3333333333333,0.1578947368421052,0.3235294117647059
1967,PL,埼玉西武ライオンズ,11413823,福浦　健次,K.Fukuura,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
