year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
2004,PL,埼玉西武ライオンズ,31135111,青木　勇人,,4,5.0,0,0,0,14.4,28,9,2,4,,0,7,8,8,,,0,0,0.0,1,0
2004,PL,埼玉西武ライオンズ,01105113,東　和政,,3,5.0,0,0,0,16.2,29,14,2,1,,0,2,9,9,,,0,0,0.0,0,0
2004,PL,埼玉西武ライオンズ,31133889,石井　貴,,14,69.2,1,5,0,4.65,321,82,6,28,,5,35,36,49,,,0,0,0.167,1,2
2004,PL,埼玉西武ライオンズ,41145111,内薗　直樹,,1,0.2,0,0,0,27.0,7,3,0,2,,0,0,2,2,,,0,0,0.0,0,0
2004,PL,埼玉西武ライオンズ,61365113,大沼　幸二,,36,95.2,4,6,3,4.42,429,100,14,48,,1,74,47,54,,,1,1,0.4,3,0
2004,PL,埼玉西武ライオンズ,51555113,小野　剛,,11,18.2,0,0,0,5.3,80,14,5,11,,1,15,11,12,,,0,0,0.0,0,0
2004,PL,埼玉西武ライオンズ,31535117,長田　秀一郎,,34,45.1,2,3,0,3.18,188,35,2,20,,1,37,16,17,,,0,0,0.4,2,1
2004,PL,埼玉西武ライオンズ,51555117,小野寺　力,,27,32.0,2,1,0,3.38,139,26,3,19,,0,24,12,13,,,0,0,0.667,2,0
2004,PL,埼玉西武ライオンズ,51355119,岡本　篤志,,10,28.0,1,1,0,9.32,143,37,8,15,,5,23,29,32,,,0,0,0.5,4,0
2004,PL,埼玉西武ライオンズ,51555111,後藤　光貴,,6,31.2,3,2,0,5.97,148,38,6,11,,4,17,21,22,,,0,0,0.6,2,0
2004,PL,埼玉西武ライオンズ,71973881,潮崎　哲也,,13,12.1,1,0,0,6.57,60,20,2,5,,0,14,9,10,,,0,0,1.0,1,0
2004,PL,埼玉西武ライオンズ,41543886,芝﨑　和広,,12,17.2,2,1,0,8.15,80,21,3,5,,2,6,16,16,,,0,0,0.667,1,0
2004,PL,埼玉西武ライオンズ,01605111,許　銘傑,,27,64.0,4,3,0,4.36,280,70,4,30,,2,26,31,34,,,0,0,0.571,3,1
2004,PL,埼玉西武ライオンズ,01905115,田﨑　昌弘,,1,1.0,0,0,0,0.0,4,0,0,1,,0,1,0,0,,,0,0,0.0,0,0
2004,PL,埼玉西武ライオンズ,63165115,張　誌家,,22,146.0,9,8,0,3.7,631,137,22,57,,10,119,60,67,,,3,2,0.529,5,0
2004,PL,埼玉西武ライオンズ,61963887,豊田　清,,34,36.2,5,1,11,0.98,142,26,1,5,,0,39,4,5,,,0,0,0.833,1,0
2004,PL,埼玉西武ライオンズ,01503886,トモキ,,7,8.0,0,0,0,11.25,41,13,1,4,,1,7,10,10,,,0,0,0.0,1,0
2004,PL,埼玉西武ライオンズ,31033886,鳥谷部　健一,,3,5.0,0,0,0,1.8,21,3,0,3,,0,6,1,1,,,0,0,0.0,0,0
2004,PL,埼玉西武ライオンズ,51053886,土肥　義弘,,18,80.1,5,5,0,4.15,330,89,14,11,,4,67,37,41,,,0,0,0.5,0,0
2004,PL,埼玉西武ライオンズ,51953880,西口　文也,,21,117.1,10,5,0,3.22,506,97,19,56,,4,112,42,50,,,0,0,0.667,4,0
2004,PL,埼玉西武ライオンズ,41043888,星野　智樹,,56,46.0,4,3,0,2.15,199,26,0,31,,5,59,11,12,,,0,0,0.571,0,0
2004,PL,埼玉西武ライオンズ,41245113,帆足　和幸,,24,104.2,10,3,0,4.3,475,117,11,47,,5,80,50,59,,,1,0,0.769,1,0
2004,PL,埼玉西武ライオンズ,61263886,前田　和之,,7,11.0,0,0,1,9.0,54,16,0,5,,1,6,11,13,,,0,0,0.0,2,0
2004,PL,埼玉西武ライオンズ,31233888,松坂　大輔,,23,146.0,10,6,0,2.9,601,127,7,42,,6,127,47,50,,,10,5,0.625,5,0
2004,PL,埼玉西武ライオンズ,51455113,三井　浩二,,9,45.2,2,3,0,7.69,224,67,8,15,,4,27,39,42,,,0,0,0.4,2,0
2004,PL,埼玉西武ライオンズ,91293884,森　慎二,,34,49.0,0,4,4,4.59,235,50,5,38,,0,49,25,35,,,0,0,0.0,2,0
2004,PL,埼玉西武ライオンズ,01205119,山崎　敏,,14,38.2,3,1,0,5.59,191,49,3,23,,2,35,24,28,,,0,0,0.75,2,0
2004,PL,福岡ソフトバンクホークス,91195117,新垣　渚,,25,192.1,11,8,0,3.28,807,173,14,73,,11,177,70,75,,,9,2,0.579,8,0
2004,PL,福岡ソフトバンクホークス,41343884,岡本　克道,,7,7.2,0,0,0,4.7,31,7,1,3,,0,7,4,4,,,0,0,0.0,0,0
2004,PL,福岡ソフトバンクホークス,11513884,河野　昌人,,10,10.1,0,1,1,8.71,50,15,0,5,,1,6,10,10,,,0,0,0.0,0,0
2004,PL,福岡ソフトバンクホークス,21525115,神内　靖,,12,24.2,0,1,0,5.84,111,26,5,11,,0,23,16,16,,,0,0,0.0,1,0
2004,PL,福岡ソフトバンクホークス,91593884,倉野　信次,,37,88.1,9,1,0,2.55,371,88,6,27,,5,37,25,32,,,0,0,0.9,0,0
2004,PL,福岡ソフトバンクホークス,91495119,Ｌ．グーリン,,17,99.2,8,3,0,4.24,446,126,11,35,,4,69,47,49,,,0,0,0.727,2,3
2004,PL,福岡ソフトバンクホークス,41543889,佐藤　誠,,40,43.1,2,1,0,3.74,188,50,5,14,,3,19,18,20,,,0,0,0.667,1,0
2004,PL,福岡ソフトバンクホークス,71373882,斉藤　和巳,,22,138.0,10,7,0,6.26,612,139,22,59,,6,120,96,100,,,3,1,0.588,6,0
2004,PL,福岡ソフトバンクホークス,71673883,柴田　佳主也,,9,5.1,0,0,0,8.44,26,9,0,1,,0,3,5,5,,,0,0,0.0,1,0
2004,PL,福岡ソフトバンクホークス,31935115,杉内　俊哉,,10,45.2,2,3,0,6.9,216,56,8,27,,2,51,35,36,,,0,0,0.4,2,0
2004,PL,福岡ソフトバンクホークス,31935111,田中　総司,,2,2.1,0,0,0,0.0,10,2,0,1,,0,2,0,0,,,0,0,0.0,1,0
2004,PL,福岡ソフトバンクホークス,51955119,竹岡　和宏,,13,28.0,2,0,0,6.11,132,31,1,18,,3,10,19,21,,,0,0,1.0,3,0
2004,PL,福岡ソフトバンクホークス,91095115,寺原　隼人,,6,8.1,0,0,0,7.56,41,13,4,5,,0,7,7,7,,,0,0,0.0,0,0
2004,PL,福岡ソフトバンクホークス,13115117,Ｂ．ナイト,,6,6.0,0,0,0,12.0,36,11,0,6,,1,5,8,10,,,0,0,0.0,2,0
2004,PL,福岡ソフトバンクホークス,41243886,星野　順治,,21,120.1,7,8,0,4.64,500,112,20,31,,10,66,62,65,,,0,0,0.467,1,0
2004,PL,福岡ソフトバンクホークス,91895119,Ｂ．ボイルズ,,3,3.1,0,1,0,24.3,29,12,0,7,,0,2,9,10,,,0,0,0.0,2,0
2004,PL,福岡ソフトバンクホークス,41043882,松本　輝,,4,7.1,0,0,0,3.68,34,9,0,3,,0,5,3,3,,,0,0,0.0,0,0
2004,PL,福岡ソフトバンクホークス,11213888,松　修康,,40,28.0,0,1,0,4.82,129,34,3,11,,3,18,15,16,,,0,0,0.0,0,0
