year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA
1962,PL,埼玉西武ライオンズ,1003807,高倉　照幸,T.Takakura,134.0,545.0,504.0,59.0,148.0,27.0,2.0,12.0,215.0,51.0,9.0,0,7.0,3.0,29.0,0,2.0,70.0,7.0,0.294,0.333,0.427,0.76,107.0,0.133,0.039,0.466,0.0532110091743119,0.128440366972477,0.4142857142857143,0.32,0.2566,475.33333333333337,0.2123015873015873,0.7024793388429752
1962,PL,福岡ソフトバンクホークス,1003808,中島　博征,H.Nakajima,33.0,90.0,79.0,5.0,16.0,2.0,0.0,1.0,21.0,4.0,1.0,0,1.0,1.0,9.0,0,0.0,18.0,2.0,0.203,0.281,0.266,0.547,13.0,0.063,0.078,0.344,0.1,0.2,0.5,0.2459016393442623,0.19295,369.6666666666667,0.189873417721519,0.4769230769230769
1962,PL,近鉄バファローズ,1003821,板東　里視,S.Bandou,39.0,20.0,18.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0,1.0,0.0,1.0,0,0.0,5.0,0.0,0.056,0.105,0.111,0.216,0.0,0.055,0.0489999999999999,0.16,0.05,0.25,0.2,0.0769230769230769,0.075,142.0,0.1111111111111111,0.1764705882352941
1962,PL,千葉ロッテマリーンズ,1003823,R.ディサ,D.Desa,44.0,37.0,32.0,5.0,7.0,2.0,0.0,0.0,9.0,3.0,0.0,0,3.0,1.0,1.0,0,0.0,5.0,1.0,0.219,0.235,0.281,0.516,5.0,0.062,0.0159999999999999,0.297,0.027027027027027,0.1351351351351351,0.2,0.25,0.176,328.6666666666667,0.09375,0.3846153846153846
1962,PL,埼玉西武ライオンズ,1003825,鈴木　五朗,G.Suzuki,11.0,15.0,15.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.067,0.067,0.067,0.134,1.0,0.0,0.0,0.067,0.0,0.4,0.0,0.1111111111111111,0.0469,89.33333333333333,0.0,0.0714285714285714
1962,PL,埼玉西武ライオンズ,11013806,難波　昭二郎,S.Nanba,15.0,14.0,13.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,8.0,0.0,0.154,0.214,0.154,0.368,2.0,0.0,0.06,0.214,0.0714285714285714,0.5714285714285714,0.125,0.4,0.1348,265.3333333333333,0.0769230769230769,0.2727272727272727
1962,PL,オリックス・バファローズ,1103801,荒巻　淳,A.Aramaki,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
1962,PL,近鉄バファローズ,1103804,伊香　輝男,T.Ikou,107.0,273.0,250.0,20.0,82.0,13.0,2.0,3.0,108.0,31.0,1.0,0,2.0,0.0,10.0,0,11.0,15.0,4.0,0.328,0.38,0.432,0.812,64.0,0.1039999999999999,0.0519999999999999,0.484,0.0366300366300366,0.0549450549450549,0.6666666666666666,0.3405172413793103,0.279,524.0,0.192,0.7558139534883721
1962,PL,埼玉西武ライオンズ,1103821,井上　善夫,Y.Inoue,52.0,45.0,40.0,3.0,10.0,0.0,0.0,1.0,13.0,4.0,0.0,0,3.0,0.0,2.0,0,0.0,8.0,1.0,0.25,0.286,0.325,0.611,9.0,0.075,0.0359999999999999,0.361,0.0444444444444444,0.1777777777777777,0.25,0.2903225806451613,0.2099499999999999,394.3333333333333,0.125,0.4838709677419355
1962,PL,北海道日本ハムファイターズ,1103825,安藤　元博,M.Andou,47.0,69.0,65.0,4.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0,2.0,0.0,2.0,0,0.0,27.0,3.0,0.077,0.104,0.077,0.181,5.0,0.0,0.0269999999999999,0.104,0.0289855072463768,0.391304347826087,0.074074074074074,0.131578947368421,0.06605,129.66666666666666,0.0307692307692307,0.1111111111111111
1962,PL,千葉ロッテマリーンズ,11213802,土居　章助,S.Doi,61.0,29.0,28.0,17.0,4.0,0.0,0.0,1.0,7.0,1.0,8,0,0.0,0.0,1.0,0,0.0,10.0,0.0,0.143,0.172,0.25,0.422,3.0,0.107,0.0289999999999999,0.279,0.0344827586206896,0.3448275862068966,0.1,0.1764705882352941,0.1399,255.3333333333333,0.1428571428571428,0.3333333333333333
1962,PL,オリックス・バファローズ,11213806,牧田　政彦,M.Makita,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
1962,PL,オリックス・バファローズ,11213807,戸口　天従,T.Toguchi,92.0,248.0,238.0,17.0,72.0,11.0,3.0,1.0,92.0,32.0,2,0,0.0,2.0,6.0,0,2.0,15.0,2.0,0.303,0.323,0.387,0.71,57.0,0.084,0.02,0.407,0.0241935483870967,0.0604838709677419,0.4,0.3169642857142857,0.2421,452.0,0.1176470588235294,0.5952380952380952
1962,PL,埼玉西武ライオンズ,11213823,中峰　清二,S.Nakamine,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1962,PL,埼玉西武ライオンズ,11313802,伊藤　光四郎,K.Itou,116.0,275.0,240.0,25.0,57.0,7.0,4.0,0.0,72.0,27.0,9,4,4.0,2.0,28.0,0,1.0,31.0,3.0,0.237,0.317,0.3,0.617,46.0,0.063,0.08,0.38,0.1018181818181818,0.1127272727272727,0.9032258064516128,0.2701421800947867,0.21765,417.0,0.2,0.5645161290322581
1962,PL,埼玉西武ライオンズ,11313804,浦田　直治,N.Urata,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1962,PL,千葉ロッテマリーンズ,11313806,稲垣　忠美,T.Inagaki,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
1962,PL,近鉄バファローズ,11313809,岩下　守道,M.Iwashita,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1962,PL,千葉ロッテマリーンズ,11413825,寺本　勇,I.Teramoto,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,2.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.4,0.5,0.0,0.09,200.0,0.25,0.25
1962,PL,千葉ロッテマリーンズ,11513802,小野　正一,S.Ono,44.0,59.0,57.0,4.0,7.0,1.0,0.0,0.0,8.0,2.0,0.0,0,1.0,0.0,1.0,0,0.0,17.0,1.0,0.123,0.138,0.14,0.278,6.0,0.017,0.015,0.155,0.0169491525423728,0.288135593220339,0.0588235294117647,0.175,0.0971,184.66666666666669,0.0350877192982456,0.1764705882352941
1962,PL,千葉ロッテマリーンズ,11613804,矢頭　高雄,T.Yatou,119.0,313.0,287.0,23.0,63.0,4.0,1.0,5.0,84.0,27.0,2,1,8.0,2.0,15.0,0,1.0,47.0,8.0,0.22,0.259,0.293,0.552,53.0,0.0729999999999999,0.039,0.3319999999999999,0.047923322683706,0.1501597444089457,0.3191489361702128,0.2447257383966244,0.1898,356.6666666666667,0.1324041811846689,0.4353448275862069
1962,PL,オリックス・バファローズ,11613823,矢野　清,K.Yano,66.0,113.0,101.0,8.0,15.0,2.0,1.0,2.0,25.0,8.0,0.0,0,0.0,1.0,9.0,0,2.0,32.0,2.0,0.149,0.23,0.248,0.478,10.0,0.099,0.081,0.329,0.079646017699115,0.2831858407079646,0.28125,0.1911764705882352,0.1655,312.66666666666663,0.2079207920792079,0.4090909090909091
1962,PL,千葉ロッテマリーンズ,11613825,西田　孝之,T.Nishida,29.0,26.0,24.0,5.0,4.0,0.0,0.0,0.0,4.0,1.0,3,0,0.0,0.0,1.0,0,1.0,5.0,0.0,0.167,0.231,0.167,0.398,4.0,0.0,0.064,0.231,0.0384615384615384,0.1923076923076923,0.2,0.2105263157894736,0.1457,286.6666666666667,0.0833333333333333,0.3
1962,PL,千葉ロッテマリーンズ,11713806,塩津　義雄,Y.Shiozu,49.0,69.0,68.0,4.0,19.0,3.0,1.0,0.0,24.0,4.0,0,3,0.0,0.0,1.0,0,0.0,16.0,1.0,0.279,0.29,0.353,0.643,15.0,0.0739999999999999,0.0109999999999999,0.3639999999999999,0.0144927536231884,0.2318840579710145,0.0625,0.3653846153846153,0.21875,407.6666666666666,0.1323529411764706,0.56
1962,PL,近鉄バファローズ,11713808,瓦谷　嘉宏,Y.Kawaratani,29.0,39.0,38.0,2.0,10.0,1.0,0.0,1.0,14.0,3.0,0.0,0,0.0,0.0,1.0,0,0.0,12.0,0.0,0.263,0.282,0.368,0.65,8.0,0.1049999999999999,0.0189999999999999,0.3869999999999999,0.0256410256410256,0.3076923076923077,0.0833333333333333,0.36,0.2188999999999999,404.6666666666666,0.131578947368421,0.5357142857142857
1962,PL,近鉄バファローズ,11713823,児玉　弘義,H.Kodama,18.0,26.0,26.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11.0,0.0,0.077,0.077,0.077,0.154,2.0,0.0,0.0,0.077,0.0,0.4230769230769231,0.0,0.1333333333333333,0.0539,102.66666666666669,0.0,0.0833333333333333
1962,PL,埼玉西武ライオンズ,11713825,荻野　一雄,K.Ogino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,
1962,PL,千葉ロッテマリーンズ,11913804,醍醐　猛夫,T.Daigo,67.0,135.0,126.0,12.0,31.0,6.0,1.0,2.0,45.0,15.0,0.0,0,0.0,0.0,7.0,0,2.0,33.0,3.0,0.246,0.296,0.357,0.653,22.0,0.1109999999999999,0.0499999999999999,0.407,0.0518518518518518,0.2444444444444444,0.2121212121212121,0.3186813186813186,0.2224499999999999,415.0,0.1825396825396825,0.5510204081632653
1962,PL,近鉄バファローズ,11913806,竹下　光郎,M.Takeshita,78.0,105.0,98.0,5.0,18.0,2.0,0.0,2.0,26.0,17.0,0.0,0,0.0,0.0,7.0,0,0.0,26.0,1.0,0.184,0.238,0.265,0.503,14.0,0.081,0.0539999999999999,0.319,0.0666666666666666,0.2476190476190476,0.2692307692307692,0.2285714285714285,0.17335,326.3333333333333,0.1530612244897959,0.4074074074074074
1962,PL,北海道日本ハムファイターズ,11913821,高島　正義,M.Takashima,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.7,1333.3333333333333,0.0,
1962,PL,千葉ロッテマリーンズ,1203802,中西　勝己,K.Nakanishi,25.0,19.0,19.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11.0,1.0,0.105,0.105,0.105,0.21,2.0,0.0,0.0,0.105,0.0,0.5789473684210527,0.0,0.25,0.0735,139.99999999999997,0.0,0.1111111111111111
1962,PL,福岡ソフトバンクホークス,1203804,福田　昌久,M.Fukuda,77.0,61.0,59.0,14.0,13.0,1.0,0.0,2.0,20.0,8.0,3.0,0,0.0,0.0,2.0,0,0.0,28.0,1.0,0.22,0.246,0.339,0.585,10.0,0.119,0.0259999999999999,0.365,0.0327868852459016,0.4590163934426229,0.0714285714285714,0.3793103448275862,0.19545,359.0,0.2033898305084746,0.5319148936170213
1962,PL,千葉ロッテマリーンズ,1303800,榎本　喜八,K.Enomoto,125.0,524.0,483.0,79.0,160.0,28.0,2.0,17.0,243.0,66.0,5,0,0.0,3.0,36.0,0,2.0,28.0,10.0,0.331,0.378,0.503,0.881,113.0,0.172,0.0469999999999999,0.55,0.0687022900763358,0.0534351145038167,1.2857142857142858,0.3242630385487528,0.29585,545.6666666666666,0.2546583850931677,0.8498498498498499
1962,PL,オリックス・バファローズ,1303804,梶本　靖郎,Y.Kajimoto,25.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1962,PL,北海道日本ハムファイターズ,13113825,宮崎　昭二,S.Miyazaki,12.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
1962,PL,千葉ロッテマリーンズ,13313825,吉田　英司,E.Yoshida,22.0,15.0,15.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1,0.0,0.0,0.0,0,0.0,5.0,0.0,0.267,0.267,0.267,0.534,4.0,0.0,0.0,0.267,0.0,0.3333333333333333,0.0,0.4,0.1869,356.00000000000006,0.0666666666666666,0.4545454545454545
1962,PL,北海道日本ハムファイターズ,13513809,山本　義司,Y.Yamamoto,33.0,10.0,10.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.3,0.3,0.3,0.6,3.0,0.0,0.0,0.3,0.0,0.5,0.0,0.6,0.21,400.0,0.0,0.4285714285714285
1962,PL,福岡ソフトバンクホークス,1403806,渡会　純男,S.Watarai,35.0,40.0,38.0,1.0,6.0,0.0,0.0,1.0,9.0,1.0,0.0,0,0.0,0.0,1.0,0,1.0,4.0,1.0,0.158,0.2,0.237,0.437,5.0,0.0789999999999999,0.042,0.279,0.025,0.1,0.25,0.1515151515151515,0.14925,279.0,0.131578947368421,0.3333333333333333
1962,PL,千葉ロッテマリーンズ,1403825,中村　邦弘,K.Nakamura,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1962,PL,埼玉西武ライオンズ,1503805,河合　保彦,Y.Kawai,93.0,261.0,232.0,27.0,54.0,4.0,2.0,7.0,83.0,25.0,2.0,0,2.0,2.0,20.0,0,5.0,67.0,4.0,0.233,0.305,0.358,0.663,41.0,0.1249999999999999,0.0719999999999999,0.4299999999999999,0.0766283524904214,0.2567049808429119,0.2985074626865671,0.29375,0.22675,424.3333333333333,0.2413793103448276,0.6043956043956044
1962,PL,埼玉西武ライオンズ,1503809,仰木　彬,A.Oogi,111.0,406.0,357.0,48.0,76.0,13.0,5.0,5.0,114.0,21.0,10.0,0,18.0,1.0,25.0,0,5.0,75.0,7.0,0.213,0.273,0.319,0.592,53.0,0.106,0.06,0.379,0.0615763546798029,0.1847290640394088,0.3333333333333333,0.2553956834532374,0.2026,379.33333333333337,0.2184873949579832,0.5347222222222222
1962,PL,オリックス・バファローズ,1503823,木村　久,H.Kimura,24.0,32.0,30.0,5.0,7.0,0.0,0.0,1.0,10.0,2.0,0.0,0,1.0,0.0,1.0,0,0.0,6.0,0.0,0.233,0.258,0.333,0.591,6.0,0.1,0.0249999999999999,0.358,0.03125,0.1875,0.1666666666666666,0.2608695652173913,0.19935,369.0,0.1333333333333333,0.4782608695652174
1962,PL,北海道日本ハムファイターズ,1603802,緋本　祥男,Y.Himoto,67.0,57.0,53.0,11.0,13.0,1.0,2.0,0.0,18.0,4.0,0.0,0,1.0,0.0,3.0,0,0.0,14.0,3.0,0.245,0.286,0.34,0.626,10.0,0.095,0.0409999999999999,0.381,0.0526315789473684,0.2456140350877192,0.2142857142857142,0.3333333333333333,0.2137,399.3333333333333,0.1509433962264151,0.4883720930232558
1962,PL,福岡ソフトバンクホークス,1603809,野村　克也,K.Nomura,133.0,571.0,489.0,96.0,151.0,28.0,0.0,44.0,311.0,104.0,5.0,0,1.0,7.0,70.0,0,4.0,101.0,11.0,0.309,0.395,0.636,1.031,79.0,0.327,0.086,0.722,0.1225919439579684,0.1768826619964973,0.693069306930693,0.3048433048433048,0.33675,607.0,0.4887525562372188,1.1174785100286533
